#           k/h    P           
 0.21082247E-01 0.25696102E+05
 0.21317799E-01 0.25611758E+05
 0.21555984E-01 0.25523492E+05
 0.21796832E-01 0.25431326E+05
 0.22040369E-01 0.25335264E+05
 0.22286627E-01 0.25235324E+05
 0.22535637E-01 0.25131523E+05
 0.22787429E-01 0.25023885E+05
 0.23042034E-01 0.24912439E+05
 0.23299485E-01 0.24797211E+05
 0.23559812E-01 0.24678236E+05
 0.23823047E-01 0.24555555E+05
 0.24089225E-01 0.24429203E+05
 0.24358375E-01 0.24299236E+05
 0.24630532E-01 0.24165701E+05
 0.24905732E-01 0.24028656E+05
 0.25184004E-01 0.23888156E+05
 0.25465388E-01 0.23744271E+05
 0.25749914E-01 0.23597064E+05
 0.26037619E-01 0.23446611E+05
 0.26328539E-01 0.23292994E+05
 0.26622711E-01 0.23136289E+05
 0.26920168E-01 0.22976588E+05
 0.27220948E-01 0.22813977E+05
 0.27525090E-01 0.22648557E+05
 0.27832629E-01 0.22480428E+05
 0.28143605E-01 0.22309695E+05
 0.28458055E-01 0.22136465E+05
 0.28776020E-01 0.21960859E+05
 0.29097537E-01 0.21782992E+05
 0.29422645E-01 0.21602988E+05
 0.29751386E-01 0.21420967E+05
 0.30083800E-01 0.21237070E+05
 0.30419929E-01 0.21051420E+05
 0.30759813E-01 0.20864170E+05
 0.31103494E-01 0.20675447E+05
 0.31451017E-01 0.20485404E+05
 0.31802420E-01 0.20294189E+05
 0.32157749E-01 0.20101949E+05
 0.32517049E-01 0.19908842E+05
 0.32880366E-01 0.19715025E+05
 0.33247743E-01 0.19520652E+05
 0.33619221E-01 0.19325887E+05
 0.33994850E-01 0.19130885E+05
 0.34374677E-01 0.18935820E+05
 0.34758747E-01 0.18740844E+05
 0.35147108E-01 0.18546135E+05
 0.35539810E-01 0.18351846E+05
 0.35936899E-01 0.18158141E+05
 0.36338426E-01 0.17965191E+05
 0.36744438E-01 0.17773152E+05
 0.37154984E-01 0.17582189E+05
 0.37570119E-01 0.17392463E+05
 0.37989892E-01 0.17204127E+05
 0.38414355E-01 0.17017336E+05
 0.38843565E-01 0.16832244E+05
 0.39277565E-01 0.16648994E+05
 0.39716415E-01 0.16467732E+05
 0.40160172E-01 0.16288601E+05
 0.40608883E-01 0.16111726E+05
 0.41062608E-01 0.15937235E+05
 0.41521404E-01 0.15765260E+05
 0.41985326E-01 0.15595905E+05
 0.42454429E-01 0.15429283E+05
 0.42928778E-01 0.15265495E+05
 0.43408424E-01 0.15104634E+05
 0.43893427E-01 0.14946781E+05
 0.44383854E-01 0.14792013E+05
 0.44879757E-01 0.14640394E+05
 0.45381200E-01 0.14491977E+05
 0.45888249E-01 0.14346810E+05
 0.46400961E-01 0.14204925E+05
 0.46919402E-01 0.14066344E+05
 0.47443636E-01 0.13931078E+05
 0.47973726E-01 0.13799127E+05
 0.48509739E-01 0.13670471E+05
 0.49051743E-01 0.13545088E+05
 0.49599800E-01 0.13422936E+05
 0.50153982E-01 0.13303956E+05
 0.50714359E-01 0.13188083E+05
 0.51280994E-01 0.13075237E+05
 0.51853959E-01 0.12965314E+05
 0.52433327E-01 0.12858212E+05
 0.53019166E-01 0.12753796E+05
 0.53611554E-01 0.12651932E+05
 0.54210559E-01 0.12552458E+05
 0.54816257E-01 0.12455214E+05
 0.55428725E-01 0.12360008E+05
 0.56048032E-01 0.12266646E+05
 0.56674261E-01 0.12174921E+05
 0.57307485E-01 0.12084606E+05
 0.57947788E-01 0.11995472E+05
 0.58858234E-01 0.11871925E+05
 0.59768684E-01 0.11760256E+05
 0.60679134E-01 0.11641938E+05
 0.61589580E-01 0.11524976E+05
 0.62500030E-01 0.11408668E+05
 0.63410476E-01 0.11292373E+05
 0.64320922E-01 0.11175499E+05
 0.65231375E-01 0.11057528E+05
 0.66141821E-01 0.10938000E+05
 0.67052267E-01 0.10816524E+05
 0.67962721E-01 0.10692775E+05
 0.68873167E-01 0.10566499E+05
 0.69783613E-01 0.10437504E+05
 0.70694067E-01 0.10305674E+05
 0.71604513E-01 0.10170948E+05
 0.72514959E-01 0.10033332E+05
 0.73425412E-01 0.98928984E+04
 0.74335858E-01 0.97497285E+04
 0.75246304E-01 0.96040703E+04
 0.76156750E-01 0.94561074E+04
 0.77067204E-01 0.93061094E+04
 0.77977650E-01 0.91543740E+04
 0.78888096E-01 0.90012334E+04
 0.79798549E-01 0.88470498E+04
 0.80708995E-01 0.86922012E+04
 0.81619442E-01 0.85370801E+04
 0.82529895E-01 0.83820947E+04
 0.83440341E-01 0.82276484E+04
 0.84350787E-01 0.80741475E+04
 0.85261241E-01 0.79219951E+04
 0.86171687E-01 0.77715806E+04
 0.87082133E-01 0.76232783E+04
 0.87992579E-01 0.74774448E+04
 0.88903032E-01 0.73344214E+04
 0.89813478E-01 0.71945146E+04
 0.90723924E-01 0.70580151E+04
 0.91634378E-01 0.69251792E+04
 0.92544824E-01 0.67962383E+04
 0.93455270E-01 0.66713877E+04
 0.94365723E-01 0.65507998E+04
 0.95276169E-01 0.64346069E+04
 0.96186616E-01 0.63229185E+04
 0.97097069E-01 0.62158091E+04
 0.98007515E-01 0.61133213E+04
 0.98917961E-01 0.60154751E+04
 0.99828407E-01 0.59222554E+04
 0.10073886E+00 0.58336265E+04
 0.10164931E+00 0.57495220E+04
 0.10255975E+00 0.56698545E+04
 0.10347021E+00 0.55945156E+04
 0.10438065E+00 0.55233696E+04
 0.10529110E+00 0.54562715E+04
 0.10620155E+00 0.53930518E+04
 0.10711200E+00 0.53335259E+04
 0.10802244E+00 0.52774976E+04
 0.10893289E+00 0.52247549E+04
 0.10984334E+00 0.51750820E+04
 0.11075379E+00 0.51282471E+04
 0.11166424E+00 0.50840156E+04
 0.11257469E+00 0.50421460E+04
 0.11348514E+00 0.50023950E+04
 0.11439558E+00 0.49645161E+04
 0.11530603E+00 0.49282646E+04
 0.11621648E+00 0.48933950E+04
 0.11712693E+00 0.48596675E+04
 0.11803738E+00 0.48268477E+04
 0.11894783E+00 0.47947061E+04
 0.11985827E+00 0.47630215E+04
