   0.132547E-02   0.195685E+08   0.195683E+08   0.369097E+06   0.363369E+06   0.000000E+00   0.195685E+08   0.195685E+08   0.195686E+08  -0.462423E+00   0.101843E+08   0.101843E+08   0.629923E+00
   0.148123E-02   0.195081E+08   0.195078E+08   0.220281E+06   0.211772E+06   0.000000E+00   0.195080E+08   0.195080E+08   0.195081E+08  -0.460989E+00   0.101528E+08   0.101528E+08   0.690127E+00
   0.165531E-02   0.194378E+08   0.194375E+08   0.213986E+06   0.199630E+06   0.000000E+00   0.194378E+08   0.194378E+08   0.194378E+08  -0.459324E+00   0.101161E+08   0.101161E+08   0.755563E+00
   0.184984E-02   0.193564E+08   0.193560E+08   0.157706E+06   0.144416E+06   0.000000E+00   0.193564E+08   0.193564E+08   0.193564E+08  -0.457398E+00   0.100737E+08   0.100737E+08   0.826674E+00
   0.206723E-02   0.192625E+08   0.192620E+08   0.578702E+05   0.550695E+05   0.000000E+00   0.192624E+08   0.192624E+08   0.192624E+08  -0.455175E+00   0.100248E+08   0.100248E+08   0.903926E+00
   0.231017E-02   0.191545E+08   0.191538E+08   0.560914E+05   0.549370E+05   0.000000E+00   0.191544E+08   0.191544E+08   0.191544E+08  -0.452620E+00   0.996849E+07   0.996848E+07   0.987798E+00
   0.258166E-02   0.190307E+08   0.190299E+08   0.349223E+05   0.282154E+05   0.000000E+00   0.190306E+08   0.190306E+08   0.190306E+08  -0.449694E+00   0.990404E+07   0.990403E+07   0.107882E+01
   0.288505E-02   0.188895E+08   0.188885E+08   0.190614E+05   0.118345E+05   0.000000E+00   0.188893E+08   0.188893E+08   0.188893E+08  -0.446355E+00   0.983050E+07   0.983049E+07   0.117754E+01
   0.322410E-02   0.187290E+08   0.187278E+08   0.172049E+05   0.672918E+04   0.000000E+00   0.187288E+08   0.187288E+08   0.187288E+08  -0.442561E+00   0.974693E+07   0.974692E+07   0.128453E+01
   0.360299E-02   0.185473E+08   0.185458E+08   0.877108E+04   0.234676E+04   0.000000E+00   0.185470E+08   0.185470E+08   0.185470E+08  -0.438265E+00   0.965233E+07   0.965231E+07   0.140039E+01
   0.402641E-02   0.183424E+08   0.183406E+08   0.389650E+03  -0.587405E+04   0.000000E+00   0.183421E+08   0.183421E+08   0.183421E+08  -0.433423E+00   0.954568E+07   0.954566E+07   0.152571E+01
   0.449959E-02   0.181125E+08   0.181102E+08   0.552553E+04   0.491032E+04   0.000000E+00   0.181121E+08   0.181121E+08   0.181121E+08  -0.427987E+00   0.942595E+07   0.942593E+07   0.166107E+01
   0.502838E-02   0.178553E+08   0.178526E+08   0.406436E+04   0.179081E+05   0.000000E+00   0.178549E+08   0.178549E+08   0.178549E+08  -0.421909E+00   0.929209E+07   0.929206E+07   0.180699E+01
   0.508456E-02   0.178281E+08   0.178252E+08   0.350226E+04   0.177412E+05   0.000000E+00   0.178276E+08   0.178276E+08   0.178276E+08  -0.421264E+00   0.927789E+07   0.927786E+07   0.182218E+01
   0.514137E-02   0.178005E+08   0.177976E+08   0.232587E+04   0.175172E+05   0.000000E+00   0.178000E+08   0.178000E+08   0.178000E+08  -0.420612E+00   0.926353E+07   0.926350E+07   0.183748E+01
   0.519882E-02   0.177726E+08   0.177696E+08   0.807769E+03   0.173201E+05   0.000000E+00   0.177721E+08   0.177721E+08   0.177721E+08  -0.419953E+00   0.924902E+07   0.924899E+07   0.185290E+01
   0.525690E-02   0.177444E+08   0.177414E+08  -0.668242E+03   0.172299E+05   0.000000E+00   0.177440E+08   0.177440E+08   0.177440E+08  -0.419287E+00   0.923435E+07   0.923432E+07   0.186842E+01
   0.531564E-02   0.177160E+08   0.177129E+08  -0.171253E+04   0.173047E+05   0.000000E+00   0.177155E+08   0.177155E+08   0.177155E+08  -0.418614E+00   0.921953E+07   0.921950E+07   0.188406E+01
   0.537503E-02   0.176872E+08   0.176840E+08  -0.204240E+04   0.175599E+05   0.000000E+00   0.176867E+08   0.176867E+08   0.176867E+08  -0.417934E+00   0.920455E+07   0.920452E+07   0.189980E+01
   0.543509E-02   0.176581E+08   0.176549E+08  -0.156879E+04   0.179532E+05   0.000000E+00   0.176576E+08   0.176576E+08   0.176576E+08  -0.417247E+00   0.918941E+07   0.918938E+07   0.191566E+01
   0.549581E-02   0.176287E+08   0.176254E+08  -0.428785E+03   0.183855E+05   0.000000E+00   0.176282E+08   0.176282E+08   0.176282E+08  -0.416552E+00   0.917412E+07   0.917408E+07   0.193163E+01
   0.555722E-02   0.175990E+08   0.175957E+08   0.104982E+04   0.187211E+05   0.000000E+00   0.175985E+08   0.175985E+08   0.175985E+08  -0.415850E+00   0.915866E+07   0.915863E+07   0.194772E+01
   0.561931E-02   0.175690E+08   0.175656E+08   0.244469E+04   0.188276E+05   0.000000E+00   0.175685E+08   0.175685E+08   0.175685E+08  -0.415141E+00   0.914304E+07   0.914301E+07   0.196392E+01
   0.568210E-02   0.175387E+08   0.175352E+08   0.336826E+04   0.186221E+05   0.000000E+00   0.175382E+08   0.175382E+08   0.175382E+08  -0.414425E+00   0.912726E+07   0.912723E+07   0.198023E+01
   0.574558E-02   0.175081E+08   0.175045E+08   0.358932E+04   0.181087E+05   0.000000E+00   0.175075E+08   0.175075E+08   0.175076E+08  -0.413701E+00   0.911131E+07   0.911128E+07   0.199665E+01
   0.580978E-02   0.174772E+08   0.174735E+08   0.310555E+04   0.173890E+05   0.000000E+00   0.174766E+08   0.174766E+08   0.174766E+08  -0.412969E+00   0.909520E+07   0.909517E+07   0.201318E+01
   0.587469E-02   0.174459E+08   0.174422E+08   0.213971E+04   0.166377E+05   0.000000E+00   0.174453E+08   0.174453E+08   0.174453E+08  -0.412230E+00   0.907893E+07   0.907890E+07   0.202983E+01
   0.594033E-02   0.174143E+08   0.174105E+08   0.105762E+04   0.160462E+05   0.000000E+00   0.174137E+08   0.174137E+08   0.174137E+08  -0.411484E+00   0.906249E+07   0.906245E+07   0.204660E+01
   0.600670E-02   0.173824E+08   0.173785E+08   0.234561E+03   0.157522E+05   0.000000E+00   0.173818E+08   0.173818E+08   0.173818E+08  -0.410730E+00   0.904588E+07   0.904584E+07   0.206347E+01
