#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.118608E-02   0.199790E+08   0.199789E+08   0.626321E+06   0.620620E+06   0.000000E+00   0.199790E+08   0.199790E+08   0.202582E+08  -0.468824E+00   0.104455E+08   0.104455E+08   0.574773E+00
   0.132547E-02   0.199402E+08   0.199400E+08   0.338077E+06   0.332278E+06   0.000000E+00   0.199401E+08   0.199401E+08   0.201785E+08  -0.468485E+00   0.104240E+08   0.104240E+08   0.630127E+00
   0.148123E-02   0.198913E+08   0.198911E+08   0.205391E+06   0.196521E+06   0.000000E+00   0.198913E+08   0.198913E+08   0.200921E+08  -0.467819E+00   0.103972E+08   0.103972E+08   0.690311E+00
   0.165531E-02   0.198311E+08   0.198308E+08   0.205300E+06   0.190773E+06   0.000000E+00   0.198310E+08   0.198310E+08   0.199984E+08  -0.466805E+00   0.103644E+08   0.103644E+08   0.755731E+00
   0.184984E-02   0.197580E+08   0.197576E+08   0.143188E+06   0.130818E+06   0.000000E+00   0.197579E+08   0.197579E+08   0.198962E+08  -0.465418E+00   0.103250E+08   0.103250E+08   0.826826E+00
   0.206723E-02   0.196706E+08   0.196701E+08   0.481749E+05   0.466488E+05   0.000000E+00   0.196705E+08   0.196705E+08   0.197839E+08  -0.463633E+00   0.102783E+08   0.102783E+08   0.904064E+00
   0.231017E-02   0.195675E+08   0.195669E+08   0.522279E+05   0.515620E+05   0.000000E+00   0.195674E+08   0.195674E+08   0.196598E+08  -0.461425E+00   0.102235E+08   0.102235E+08   0.987922E+00
   0.258166E-02   0.194471E+08   0.194463E+08   0.270577E+05   0.213927E+05   0.000000E+00   0.194470E+08   0.194470E+08   0.195218E+08  -0.458766E+00   0.101598E+08   0.101598E+08   0.107893E+01
   0.288505E-02   0.193077E+08   0.193068E+08   0.165452E+05   0.104146E+05   0.000000E+00   0.193076E+08   0.193076E+08   0.193680E+08  -0.455624E+00   0.100863E+08   0.100863E+08   0.117764E+01
   0.322410E-02   0.191477E+08   0.191465E+08   0.115788E+05   0.254296E+04   0.000000E+00   0.191475E+08   0.191475E+08   0.191961E+08  -0.451966E+00   0.100022E+08   0.100021E+08   0.128463E+01
   0.360299E-02   0.189653E+08   0.189638E+08   0.637672E+04   0.148642E+04   0.000000E+00   0.189650E+08   0.189650E+08   0.190039E+08  -0.447752E+00   0.990638E+07   0.990636E+07   0.140047E+01
   0.402641E-02   0.187585E+08   0.187567E+08  -0.218727E+04  -0.749706E+04   0.000000E+00   0.187582E+08   0.187582E+08   0.187892E+08  -0.442944E+00   0.979797E+07   0.979795E+07   0.152579E+01
   0.449959E-02   0.185254E+08   0.185232E+08   0.215458E+04   0.676914E+04   0.000000E+00   0.185251E+08   0.185251E+08   0.185498E+08  -0.437499E+00   0.967591E+07   0.967588E+07   0.166113E+01
   0.502838E-02   0.182642E+08   0.182614E+08   0.195739E+04   0.190954E+05   0.000000E+00   0.182637E+08   0.182637E+08   0.182833E+08  -0.431375E+00   0.953916E+07   0.953914E+07   0.180705E+01
   0.508456E-02   0.182364E+08   0.182336E+08   0.963132E+03   0.188573E+05   0.000000E+00   0.182360E+08   0.182360E+08   0.182551E+08  -0.430723E+00   0.952464E+07   0.952461E+07   0.182224E+01
   0.514137E-02   0.182084E+08   0.182055E+08  -0.472090E+03   0.186130E+05   0.000000E+00   0.182079E+08   0.182079E+08   0.182266E+08  -0.430064E+00   0.950996E+07   0.950993E+07   0.183754E+01
   0.519882E-02   0.181800E+08   0.181770E+08  -0.198291E+04   0.184453E+05   0.000000E+00   0.181795E+08   0.181795E+08   0.181978E+08  -0.429398E+00   0.949512E+07   0.949509E+07   0.185295E+01
   0.525690E-02   0.181513E+08   0.181483E+08  -0.316519E+04   0.184254E+05   0.000000E+00   0.181508E+08   0.181508E+08   0.181687E+08  -0.428724E+00   0.948012E+07   0.948009E+07   0.186848E+01
   0.531564E-02   0.181223E+08   0.181192E+08  -0.369139E+04   0.185904E+05   0.000000E+00   0.181218E+08   0.181218E+08   0.181393E+08  -0.428043E+00   0.946495E+07   0.946492E+07   0.188411E+01
   0.537503E-02   0.180930E+08   0.180899E+08  -0.340912E+04   0.189223E+05   0.000000E+00   0.180925E+08   0.180925E+08   0.181095E+08  -0.427355E+00   0.944963E+07   0.944960E+07   0.189986E+01
   0.543509E-02   0.180634E+08   0.180602E+08  -0.239198E+04   0.193397E+05   0.000000E+00   0.180629E+08   0.180629E+08   0.180795E+08  -0.426659E+00   0.943414E+07   0.943411E+07   0.191572E+01
   0.549581E-02   0.180335E+08   0.180302E+08  -0.923693E+03   0.197110E+05   0.000000E+00   0.180330E+08   0.180330E+08   0.180492E+08  -0.425955E+00   0.941848E+07   0.941845E+07   0.193169E+01
   0.555722E-02   0.180033E+08   0.179999E+08   0.583635E+03   0.198902E+05   0.000000E+00   0.180027E+08   0.180027E+08   0.180186E+08  -0.425244E+00   0.940266E+07   0.940263E+07   0.194777E+01
   0.561931E-02   0.179727E+08   0.179693E+08   0.171450E+04   0.197651E+05   0.000000E+00   0.179722E+08   0.179722E+08   0.179876E+08  -0.424525E+00   0.938668E+07   0.938664E+07   0.196397E+01
   0.568210E-02   0.179418E+08   0.179383E+08   0.217978E+04   0.193044E+05   0.000000E+00   0.179413E+08   0.179413E+08   0.179564E+08  -0.423799E+00   0.937052E+07   0.937049E+07   0.198028E+01
   0.574558E-02   0.179106E+08   0.179070E+08   0.190796E+04   0.185800E+05   0.000000E+00   0.179100E+08   0.179100E+08   0.179248E+08  -0.423065E+00   0.935420E+07   0.935416E+07   0.199670E+01
   0.580978E-02   0.178791E+08   0.178754E+08   0.106480E+04   0.177553E+05   0.000000E+00   0.178785E+08   0.178785E+08   0.178929E+08  -0.422322E+00   0.933771E+07   0.933767E+07   0.201323E+01
   0.587469E-02   0.178472E+08   0.178435E+08  -0.855348E+01   0.170344E+05   0.000000E+00   0.178466E+08   0.178466E+08   0.178607E+08  -0.421573E+00   0.932104E+07   0.932101E+07   0.202988E+01
   0.594033E-02   0.178150E+08   0.178112E+08  -0.920123E+03   0.165899E+05   0.000000E+00   0.178144E+08   0.178144E+08   0.178281E+08  -0.420815E+00   0.930420E+07   0.930417E+07   0.204664E+01
   0.600670E-02   0.177825E+08   0.177786E+08  -0.137076E+04   0.164937E+05   0.000000E+00   0.177819E+08   0.177819E+08   0.177953E+08  -0.420049E+00   0.928719E+07   0.928716E+07   0.206352E+01
   0.607381E-02   0.177496E+08   0.177456E+08  -0.126332E+04   0.166817E+05   0.000000E+00   0.177490E+08   0.177490E+08   0.177621E+08  -0.419275E+00   0.927001E+07   0.926997E+07   0.208051E+01
   0.614168E-02   0.177164E+08   0.177124E+08  -0.733815E+03   0.169705E+05   0.000000E+00   0.177158E+08   0.177158E+08   0.177286E+08  -0.418494E+00   0.925265E+07   0.925261E+07   0.209761E+01
   0.621030E-02   0.176829E+08   0.176787E+08  -0.894346E+02   0.171262E+05   0.000000E+00   0.176822E+08   0.176822E+08   0.176947E+08  -0.417704E+00   0.923511E+07   0.923507E+07   0.211483E+01
   0.627969E-02   0.176490E+08   0.176448E+08   0.324361E+03   0.169609E+05   0.000000E+00   0.176483E+08   0.176483E+08   0.176605E+08  -0.416906E+00   0.921740E+07   0.921736E+07   0.213216E+01
   0.634985E-02   0.176148E+08   0.176105E+08   0.274231E+03   0.164163E+05   0.000000E+00   0.176141E+08   0.176141E+08   0.176260E+08  -0.416100E+00   0.919951E+07   0.919947E+07   0.214960E+01
   0.642080E-02   0.175802E+08   0.175758E+08  -0.257357E+03   0.155971E+05   0.000000E+00   0.175795E+08   0.175795E+08   0.175912E+08  -0.415286E+00   0.918144E+07   0.918140E+07   0.216716E+01
   0.649254E-02   0.175453E+08   0.175408E+08  -0.106274E+04   0.147322E+05   0.000000E+00   0.175446E+08   0.175446E+08   0.175560E+08  -0.414463E+00   0.916318E+07   0.916314E+07   0.218483E+01
   0.656508E-02   0.175100E+08   0.175055E+08  -0.180183E+04   0.140753E+05   0.000000E+00   0.175093E+08   0.175093E+08   0.175204E+08  -0.413633E+00   0.914475E+07   0.914471E+07   0.220261E+01
   0.663843E-02   0.174744E+08   0.174698E+08  -0.215807E+04   0.137879E+05   0.000000E+00   0.174737E+08   0.174737E+08   0.174845E+08  -0.412793E+00   0.912614E+07   0.912609E+07   0.222050E+01
   0.671260E-02   0.174385E+08   0.174337E+08  -0.198608E+04   0.138584E+05   0.000000E+00   0.174377E+08   0.174377E+08   0.174483E+08  -0.411946E+00   0.910734E+07   0.910729E+07   0.223851E+01
   0.678760E-02   0.174022E+08   0.173973E+08  -0.137932E+04   0.141020E+05   0.000000E+00   0.174014E+08   0.174014E+08   0.174117E+08  -0.411090E+00   0.908835E+07   0.908830E+07   0.225663E+01
   0.686344E-02   0.173655E+08   0.173605E+08  -0.621156E+03   0.142467E+05   0.000000E+00   0.173647E+08   0.173647E+08   0.173748E+08  -0.410226E+00   0.906918E+07   0.906913E+07   0.227486E+01
   0.694013E-02   0.173285E+08   0.173234E+08  -0.402583E+02   0.140697E+05   0.000000E+00   0.173277E+08   0.173277E+08   0.173375E+08  -0.409353E+00   0.904982E+07   0.904978E+07   0.229320E+01
   0.701767E-02   0.172911E+08   0.172859E+08   0.157438E+03   0.135148E+05   0.000000E+00   0.172903E+08   0.172903E+08   0.172999E+08  -0.408471E+00   0.903028E+07   0.903023E+07   0.231165E+01
   0.709608E-02   0.172533E+08   0.172480E+08  -0.940092E+01   0.127272E+05   0.000000E+00   0.172525E+08   0.172525E+08   0.172619E+08  -0.407581E+00   0.901054E+07   0.901049E+07   0.233021E+01
   0.717536E-02   0.172152E+08   0.172098E+08  -0.320733E+03   0.119808E+05   0.000000E+00   0.172144E+08   0.172144E+08   0.172235E+08  -0.406682E+00   0.899062E+07   0.899057E+07   0.234888E+01
   0.725553E-02   0.171768E+08   0.171712E+08  -0.495364E+03   0.115296E+05   0.000000E+00   0.171759E+08   0.171759E+08   0.171848E+08  -0.405775E+00   0.897050E+07   0.897045E+07   0.236766E+01
   0.733660E-02   0.171379E+08   0.171323E+08  -0.370904E+03   0.114642E+05   0.000000E+00   0.171370E+08   0.171370E+08   0.171457E+08  -0.404859E+00   0.895020E+07   0.895014E+07   0.238655E+01
   0.741857E-02   0.170987E+08   0.170929E+08  -0.157387E+02   0.116551E+05   0.000000E+00   0.170978E+08   0.170978E+08   0.171063E+08  -0.403934E+00   0.892970E+07   0.892964E+07   0.240554E+01
   0.750146E-02   0.170591E+08   0.170532E+08   0.302632E+03   0.118247E+05   0.000000E+00   0.170582E+08   0.170582E+08   0.170665E+08  -0.403000E+00   0.890900E+07   0.890895E+07   0.242464E+01
   0.758528E-02   0.170191E+08   0.170131E+08   0.285277E+03   0.117109E+05   0.000000E+00   0.170182E+08   0.170182E+08   0.170263E+08  -0.402057E+00   0.888811E+07   0.888806E+07   0.244385E+01
   0.767003E-02   0.169788E+08   0.169727E+08  -0.190906E+03   0.112287E+05   0.000000E+00   0.169778E+08   0.169778E+08   0.169858E+08  -0.401105E+00   0.886702E+07   0.886697E+07   0.246316E+01
   0.775572E-02   0.169381E+08   0.169318E+08  -0.960369E+03   0.105273E+05   0.000000E+00   0.169371E+08   0.169371E+08   0.169448E+08  -0.400144E+00   0.884574E+07   0.884568E+07   0.248257E+01
   0.784238E-02   0.168970E+08   0.168906E+08  -0.163802E+04   0.989849E+04   0.000000E+00   0.168960E+08   0.168960E+08   0.169035E+08  -0.399175E+00   0.882426E+07   0.882420E+07   0.250209E+01
   0.793000E-02   0.168555E+08   0.168490E+08  -0.184566E+04   0.958899E+04   0.000000E+00   0.168545E+08   0.168545E+08   0.168618E+08  -0.398196E+00   0.880258E+07   0.880252E+07   0.252170E+01
   0.801861E-02   0.168137E+08   0.168070E+08  -0.145979E+04   0.963440E+04   0.000000E+00   0.168126E+08   0.168126E+08   0.168198E+08  -0.397208E+00   0.878070E+07   0.878064E+07   0.254142E+01
   0.810820E-02   0.167714E+08   0.167646E+08  -0.712357E+03   0.983158E+04   0.000000E+00   0.167703E+08   0.167703E+08   0.167773E+08  -0.396211E+00   0.875861E+07   0.875855E+07   0.256123E+01
   0.819879E-02   0.167288E+08   0.167219E+08  -0.578890E+02   0.987616E+04   0.000000E+00   0.167277E+08   0.167277E+08   0.167345E+08  -0.395205E+00   0.873633E+07   0.873627E+07   0.258114E+01
   0.829040E-02   0.166858E+08   0.166787E+08   0.123720E+03   0.957727E+04   0.000000E+00   0.166846E+08   0.166846E+08   0.166913E+08  -0.394189E+00   0.871384E+07   0.871378E+07   0.260115E+01
   0.838303E-02   0.166423E+08   0.166351E+08  -0.207724E+03   0.899775E+04   0.000000E+00   0.166412E+08   0.166412E+08   0.166477E+08  -0.393164E+00   0.869115E+07   0.869108E+07   0.262125E+01
   0.847669E-02   0.165985E+08   0.165912E+08  -0.716003E+03   0.841116E+04   0.000000E+00   0.165974E+08   0.165974E+08   0.166037E+08  -0.392130E+00   0.866825E+07   0.866818E+07   0.264144E+01
   0.857140E-02   0.165543E+08   0.165468E+08  -0.928425E+03   0.809796E+04   0.000000E+00   0.165532E+08   0.165532E+08   0.165593E+08  -0.391087E+00   0.864514E+07   0.864507E+07   0.266173E+01
   0.866717E-02   0.165097E+08   0.165021E+08  -0.596032E+03   0.812902E+04   0.000000E+00   0.165085E+08   0.165085E+08   0.165146E+08  -0.390034E+00   0.862183E+07   0.862176E+07   0.268210E+01
   0.876401E-02   0.164647E+08   0.164569E+08   0.927330E+02   0.830713E+04   0.000000E+00   0.164635E+08   0.164635E+08   0.164694E+08  -0.388971E+00   0.859831E+07   0.859824E+07   0.270256E+01
   0.886193E-02   0.164193E+08   0.164114E+08   0.626117E+03   0.832215E+04   0.000000E+00   0.164181E+08   0.164181E+08   0.164238E+08  -0.387899E+00   0.857458E+07   0.857450E+07   0.272310E+01
   0.896095E-02   0.163735E+08   0.163654E+08   0.550531E+03   0.800412E+04   0.000000E+00   0.163722E+08   0.163722E+08   0.163778E+08  -0.386818E+00   0.855064E+07   0.855056E+07   0.274372E+01
   0.906107E-02   0.163273E+08   0.163190E+08  -0.163194E+03   0.746717E+04   0.000000E+00   0.163260E+08   0.163260E+08   0.163315E+08  -0.385726E+00   0.852648E+07   0.852640E+07   0.276443E+01
   0.916231E-02   0.162807E+08   0.162722E+08  -0.106693E+04   0.701504E+04   0.000000E+00   0.162794E+08   0.162794E+08   0.162847E+08  -0.384626E+00   0.850211E+07   0.850204E+07   0.278521E+01
   0.926468E-02   0.162337E+08   0.162250E+08  -0.156192E+04   0.687812E+04   0.000000E+00   0.162323E+08   0.162323E+08   0.162375E+08  -0.383515E+00   0.847753E+07   0.847746E+07   0.280607E+01
   0.936819E-02   0.161862E+08   0.161774E+08  -0.135871E+04   0.700754E+04   0.000000E+00   0.161848E+08   0.161848E+08   0.161899E+08  -0.382395E+00   0.845274E+07   0.845266E+07   0.282700E+01
   0.947286E-02   0.161384E+08   0.161294E+08  -0.693350E+03   0.711677E+04   0.000000E+00   0.161370E+08   0.161370E+08   0.161419E+08  -0.381265E+00   0.842773E+07   0.842765E+07   0.284800E+01
   0.957870E-02   0.160901E+08   0.160810E+08  -0.110591E+03   0.694487E+04   0.000000E+00   0.160887E+08   0.160887E+08   0.160935E+08  -0.380125E+00   0.840250E+07   0.840242E+07   0.286906E+01
   0.968573E-02   0.160414E+08   0.160321E+08   0.465242E+01   0.650344E+04   0.000000E+00   0.160400E+08   0.160400E+08   0.160447E+08  -0.378975E+00   0.837706E+07   0.837697E+07   0.289019E+01
   0.979395E-02   0.159923E+08   0.159828E+08  -0.265235E+03   0.606772E+04   0.000000E+00   0.159908E+08   0.159908E+08   0.159954E+08  -0.377815E+00   0.835139E+07   0.835131E+07   0.291138E+01
   0.990338E-02   0.159428E+08   0.159331E+08  -0.500273E+03   0.590771E+04   0.000000E+00   0.159413E+08   0.159413E+08   0.159457E+08  -0.376645E+00   0.832551E+07   0.832542E+07   0.293263E+01
   0.100140E-01   0.158929E+08   0.158830E+08  -0.380256E+03   0.601688E+04   0.000000E+00   0.158913E+08   0.158913E+08   0.158957E+08  -0.375465E+00   0.829940E+07   0.829932E+07   0.295394E+01
   0.101259E-01   0.158425E+08   0.158324E+08  -0.168673E+01   0.611671E+04   0.000000E+00   0.158409E+08   0.158409E+08   0.158452E+08  -0.374276E+00   0.827308E+07   0.827299E+07   0.297529E+01
   0.102391E-01   0.157917E+08   0.157814E+08   0.238891E+03   0.594583E+04   0.000000E+00   0.157901E+08   0.157901E+08   0.157942E+08  -0.373076E+00   0.824653E+07   0.824644E+07   0.299669E+01
   0.103535E-01   0.157405E+08   0.157300E+08   0.690654E+02   0.553871E+04   0.000000E+00   0.157388E+08   0.157388E+08   0.157429E+08  -0.371866E+00   0.821976E+07   0.821966E+07   0.301813E+01
   0.104691E-01   0.156888E+08   0.156781E+08  -0.376843E+03   0.518998E+04   0.000000E+00   0.156871E+08   0.156871E+08   0.156911E+08  -0.370645E+00   0.819276E+07   0.819267E+07   0.303961E+01
   0.105861E-01   0.156367E+08   0.156258E+08  -0.716517E+03   0.512905E+04   0.000000E+00   0.156350E+08   0.156350E+08   0.156389E+08  -0.369415E+00   0.816554E+07   0.816544E+07   0.306113E+01
   0.107044E-01   0.155842E+08   0.155731E+08  -0.733686E+03   0.526018E+04   0.000000E+00   0.155825E+08   0.155825E+08   0.155862E+08  -0.368174E+00   0.813809E+07   0.813799E+07   0.308267E+01
   0.108240E-01   0.155313E+08   0.155199E+08  -0.571745E+03   0.527115E+04   0.000000E+00   0.155295E+08   0.155295E+08   0.155331E+08  -0.366923E+00   0.811041E+07   0.811031E+07   0.310425E+01
   0.109449E-01   0.154779E+08   0.154663E+08  -0.490759E+03   0.499954E+04   0.000000E+00   0.154761E+08   0.154761E+08   0.154796E+08  -0.365661E+00   0.808251E+07   0.808241E+07   0.312584E+01
   0.110672E-01   0.154240E+08   0.154123E+08  -0.505154E+03   0.462815E+04   0.000000E+00   0.154222E+08   0.154222E+08   0.154257E+08  -0.364389E+00   0.805438E+07   0.805427E+07   0.314745E+01
   0.111909E-01   0.153698E+08   0.153578E+08  -0.380766E+03   0.446262E+04   0.000000E+00   0.153679E+08   0.153679E+08   0.153713E+08  -0.363107E+00   0.802601E+07   0.802591E+07   0.316907E+01
   0.113159E-01   0.153151E+08   0.153028E+08  -0.142034E+02   0.455058E+04   0.000000E+00   0.153132E+08   0.153132E+08   0.153164E+08  -0.361814E+00   0.799742E+07   0.799731E+07   0.319070E+01
   0.114423E-01   0.152599E+08   0.152474E+08   0.317457E+03   0.462019E+04   0.000000E+00   0.152580E+08   0.152580E+08   0.152612E+08  -0.360511E+00   0.796859E+07   0.796848E+07   0.321232E+01
   0.115702E-01   0.152043E+08   0.151916E+08   0.237315E+03   0.443164E+04   0.000000E+00   0.152023E+08   0.152023E+08   0.152055E+08  -0.359197E+00   0.793953E+07   0.793942E+07   0.323395E+01
   0.116995E-01   0.151483E+08   0.151353E+08  -0.223496E+03   0.409405E+04   0.000000E+00   0.151462E+08   0.151462E+08   0.151493E+08  -0.357873E+00   0.791024E+07   0.791013E+07   0.325556E+01
   0.118302E-01   0.150918E+08   0.150786E+08  -0.585435E+03   0.391902E+04   0.000000E+00   0.150897E+08   0.150897E+08   0.150927E+08  -0.356538E+00   0.788071E+07   0.788060E+07   0.327715E+01
   0.119624E-01   0.150348E+08   0.150214E+08  -0.494431E+03   0.399297E+04   0.000000E+00   0.150327E+08   0.150327E+08   0.150356E+08  -0.355192E+00   0.785095E+07   0.785083E+07   0.329872E+01
   0.120960E-01   0.149774E+08   0.149637E+08  -0.190925E+03   0.405593E+04   0.000000E+00   0.149753E+08   0.149753E+08   0.149781E+08  -0.353836E+00   0.782095E+07   0.782083E+07   0.332027E+01
   0.122312E-01   0.149196E+08   0.149056E+08  -0.188825E+03   0.387210E+04   0.000000E+00   0.149174E+08   0.149174E+08   0.149202E+08  -0.352468E+00   0.779072E+07   0.779059E+07   0.334177E+01
   0.123678E-01   0.148613E+08   0.148470E+08  -0.531812E+03   0.357239E+04   0.000000E+00   0.148591E+08   0.148591E+08   0.148617E+08  -0.351090E+00   0.776024E+07   0.776012E+07   0.336324E+01
   0.125060E-01   0.148025E+08   0.147880E+08  -0.673586E+03   0.346029E+04   0.000000E+00   0.148003E+08   0.148003E+08   0.148029E+08  -0.349702E+00   0.772953E+07   0.772940E+07   0.338465E+01
   0.126457E-01   0.147433E+08   0.147285E+08  -0.241292E+03   0.355375E+04   0.000000E+00   0.147410E+08   0.147410E+08   0.147435E+08  -0.348302E+00   0.769858E+07   0.769845E+07   0.340600E+01
   0.127870E-01   0.146836E+08   0.146686E+08   0.357785E+03   0.355794E+04   0.000000E+00   0.146813E+08   0.146813E+08   0.146838E+08  -0.346892E+00   0.766739E+07   0.766726E+07   0.342729E+01
   0.129299E-01   0.146235E+08   0.146082E+08   0.421063E+03   0.332748E+04   0.000000E+00   0.146211E+08   0.146211E+08   0.146235E+08  -0.345470E+00   0.763596E+07   0.763582E+07   0.344851E+01
   0.130744E-01   0.145629E+08   0.145473E+08  -0.907120E+02   0.309781E+04   0.000000E+00   0.145605E+08   0.145605E+08   0.145628E+08  -0.344038E+00   0.760429E+07   0.760415E+07   0.346965E+01
   0.132204E-01   0.145019E+08   0.144859E+08  -0.510764E+03   0.310145E+04   0.000000E+00   0.144994E+08   0.144994E+08   0.145017E+08  -0.342595E+00   0.757237E+07   0.757224E+07   0.349069E+01
   0.133682E-01   0.144403E+08   0.144241E+08  -0.421940E+03   0.318326E+04   0.000000E+00   0.144378E+08   0.144378E+08   0.144400E+08  -0.341140E+00   0.754022E+07   0.754008E+07   0.351164E+01
   0.135175E-01   0.143784E+08   0.143618E+08  -0.177446E+03   0.306338E+04   0.000000E+00   0.143758E+08   0.143758E+08   0.143779E+08  -0.339675E+00   0.750782E+07   0.750768E+07   0.353248E+01
   0.136686E-01   0.143159E+08   0.142991E+08  -0.230383E+03   0.281786E+04   0.000000E+00   0.143133E+08   0.143133E+08   0.143154E+08  -0.338199E+00   0.747518E+07   0.747503E+07   0.355321E+01
   0.138213E-01   0.142530E+08   0.142359E+08  -0.403436E+03   0.274378E+04   0.000000E+00   0.142503E+08   0.142503E+08   0.142524E+08  -0.336712E+00   0.744229E+07   0.744214E+07   0.357381E+01
