#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.737463E-04   0.201045E+08   0.201045E+08   0.260780E+08   0.260770E+08   0.000000E+00   0.201045E+08   0.201045E+08   0.207628E+08  -0.462299E+00   0.105122E+08   0.105122E+08   0.421876E-01
   0.824129E-04   0.201045E+08   0.201045E+08   0.258996E+08   0.258983E+08   0.000000E+00   0.201045E+08   0.201045E+08   0.207621E+08  -0.462321E+00   0.105122E+08   0.105122E+08   0.471269E-01
   0.920980E-04   0.201044E+08   0.201044E+08   0.256784E+08   0.256767E+08   0.000000E+00   0.201044E+08   0.201044E+08   0.207612E+08  -0.462349E+00   0.105121E+08   0.105121E+08   0.526436E-01
   0.102921E-03   0.201043E+08   0.201043E+08   0.254044E+08   0.254025E+08   0.000000E+00   0.201043E+08   0.201043E+08   0.207601E+08  -0.462383E+00   0.105121E+08   0.105121E+08   0.588001E-01
   0.115016E-03   0.201042E+08   0.201042E+08   0.250661E+08   0.250637E+08   0.000000E+00   0.201042E+08   0.201042E+08   0.207587E+08  -0.462426E+00   0.105121E+08   0.105121E+08   0.656688E-01
   0.128533E-03   0.201040E+08   0.201040E+08   0.246494E+08   0.246464E+08   0.000000E+00   0.201040E+08   0.201040E+08   0.207569E+08  -0.462479E+00   0.105120E+08   0.105120E+08   0.733283E-01
   0.143638E-03   0.201038E+08   0.201038E+08   0.241378E+08   0.241341E+08   0.000000E+00   0.201038E+08   0.201038E+08   0.207547E+08  -0.462545E+00   0.105120E+08   0.105120E+08   0.818651E-01
   0.160518E-03   0.201036E+08   0.201035E+08   0.235125E+08   0.235081E+08   0.000000E+00   0.201036E+08   0.201036E+08   0.207520E+08  -0.462626E+00   0.105119E+08   0.105119E+08   0.913756E-01
   0.179382E-03   0.201032E+08   0.201032E+08   0.227524E+08   0.227472E+08   0.000000E+00   0.201032E+08   0.201032E+08   0.207487E+08  -0.462727E+00   0.105118E+08   0.105118E+08   0.101960E+00
   0.200463E-03   0.201028E+08   0.201028E+08   0.218347E+08   0.218285E+08   0.000000E+00   0.201028E+08   0.201028E+08   0.207445E+08  -0.462850E+00   0.105117E+08   0.105117E+08   0.113731E+00
   0.224022E-03   0.201023E+08   0.201023E+08   0.207363E+08   0.207291E+08   0.000000E+00   0.201023E+08   0.201023E+08   0.207393E+08  -0.463002E+00   0.105116E+08   0.105116E+08   0.126805E+00
   0.250348E-03   0.201017E+08   0.201017E+08   0.194358E+08   0.194276E+08   0.000000E+00   0.201017E+08   0.201017E+08   0.207328E+08  -0.463187E+00   0.105114E+08   0.105114E+08   0.141308E+00
   0.279769E-03   0.201008E+08   0.201008E+08   0.179172E+08   0.179081E+08   0.000000E+00   0.201008E+08   0.201008E+08   0.207249E+08  -0.463412E+00   0.105111E+08   0.105111E+08   0.157368E+00
   0.312647E-03   0.200998E+08   0.200997E+08   0.161749E+08   0.161651E+08   0.000000E+00   0.200997E+08   0.200997E+08   0.207150E+08  -0.463682E+00   0.105107E+08   0.105107E+08   0.175122E+00
   0.349389E-03   0.200984E+08   0.200983E+08   0.142202E+08   0.142101E+08   0.000000E+00   0.200984E+08   0.200984E+08   0.207029E+08  -0.464005E+00   0.105101E+08   0.105101E+08   0.194706E+00
   0.390449E-03   0.200965E+08   0.200965E+08   0.120898E+08   0.120801E+08   0.000000E+00   0.200965E+08   0.200965E+08   0.206881E+08  -0.464386E+00   0.105094E+08   0.105094E+08   0.216254E+00
   0.436334E-03   0.200941E+08   0.200941E+08   0.985368E+07   0.984516E+07   0.000000E+00   0.200941E+08   0.200941E+08   0.206700E+08  -0.464828E+00   0.105084E+08   0.105084E+08   0.239904E+00
   0.487612E-03   0.200910E+08   0.200910E+08   0.761980E+07   0.761349E+07   0.000000E+00   0.200910E+08   0.200910E+08   0.206480E+08  -0.465333E+00   0.105069E+08   0.105069E+08   0.265790E+00
   0.544916E-03   0.200868E+08   0.200868E+08   0.553098E+07   0.552777E+07   0.000000E+00   0.200868E+08   0.200868E+08   0.206215E+08  -0.465894E+00   0.105049E+08   0.105049E+08   0.294050E+00
   0.608954E-03   0.200812E+08   0.200812E+08   0.374689E+07   0.374718E+07   0.000000E+00   0.200812E+08   0.200812E+08   0.205897E+08  -0.466497E+00   0.105021E+08   0.105021E+08   0.324832E+00
   0.680517E-03   0.200738E+08   0.200737E+08   0.240615E+07   0.240941E+07   0.000000E+00   0.200738E+08   0.200738E+08   0.205519E+08  -0.467119E+00   0.104982E+08   0.104982E+08   0.358307E+00
   0.760491E-03   0.200638E+08   0.200637E+08   0.157154E+07   0.157601E+07   0.000000E+00   0.200638E+08   0.200638E+08   0.205076E+08  -0.467722E+00   0.104928E+08   0.104928E+08   0.394671E+00
   0.849863E-03   0.200505E+08   0.200504E+08   0.117888E+07   0.118194E+07   0.000000E+00   0.200504E+08   0.200504E+08   0.204561E+08  -0.468256E+00   0.104855E+08   0.104855E+08   0.434189E+00
   0.949738E-03   0.200327E+08   0.200326E+08   0.103218E+07   0.103163E+07   0.000000E+00   0.200327E+08   0.200327E+08   0.203974E+08  -0.468659E+00   0.104756E+08   0.104756E+08   0.477154E+00
   0.106135E-02   0.200094E+08   0.200093E+08   0.889622E+06   0.885381E+06   0.000000E+00   0.200094E+08   0.200094E+08   0.203313E+08  -0.468867E+00   0.104625E+08   0.104625E+08   0.523900E+00
