#           k/h    P           
 0.14808217E+00 0.31293003E+04
 0.14899261E+00 0.30858228E+04
 0.14990307E+00 0.30429441E+04
 0.15081352E+00 0.30007563E+04
 0.15172397E+00 0.29593474E+04
 0.15263441E+00 0.29187979E+04
 0.15354486E+00 0.28791824E+04
 0.15445530E+00 0.28405662E+04
 0.15536577E+00 0.28030088E+04
 0.15627621E+00 0.27665603E+04
 0.15718666E+00 0.27312634E+04
 0.15809710E+00 0.26971519E+04
 0.15900755E+00 0.26642532E+04
 0.15991800E+00 0.26325850E+04
 0.16082844E+00 0.26021582E+04
 0.16173890E+00 0.25729753E+04
 0.16264935E+00 0.25450322E+04
 0.16355979E+00 0.25183162E+04
 0.16447024E+00 0.24928098E+04
 0.16538069E+00 0.24684875E+04
 0.16629113E+00 0.24453196E+04
 0.16720159E+00 0.24232681E+04
 0.16811204E+00 0.24022922E+04
 0.16902249E+00 0.23823450E+04
 0.16993293E+00 0.23633765E+04
 0.17084338E+00 0.23453311E+04
 0.17175382E+00 0.23281521E+04
 0.17266427E+00 0.23117783E+04
 0.17357473E+00 0.22961460E+04
 0.17448518E+00 0.22811919E+04
 0.17539562E+00 0.22668484E+04
 0.17630607E+00 0.22530493E+04
 0.17721651E+00 0.22397268E+04
 0.17812696E+00 0.22268137E+04
 0.17903742E+00 0.22142439E+04
 0.17994787E+00 0.22019512E+04
 0.18085831E+00 0.21898721E+04
 0.18176876E+00 0.21779448E+04
 0.18267921E+00 0.21661096E+04
 0.18358965E+00 0.21543083E+04
 0.18450010E+00 0.21424890E+04
 0.18541056E+00 0.21306011E+04
 0.18632101E+00 0.21185977E+04
 0.18723145E+00 0.21064360E+04
 0.18814190E+00 0.20940791E+04
 0.18905234E+00 0.20814922E+04
 0.18996279E+00 0.20686467E+04
 0.19087325E+00 0.20555186E+04
 0.19178370E+00 0.20420867E+04
 0.19269414E+00 0.20283381E+04
 0.19360459E+00 0.20142616E+04
 0.19451503E+00 0.19998521E+04
 0.19542548E+00 0.19851084E+04
 0.19633593E+00 0.19700337E+04
 0.19724639E+00 0.19546362E+04
 0.19815683E+00 0.19389279E+04
 0.19906728E+00 0.19229238E+04
 0.19997773E+00 0.19066437E+04
 0.20088817E+00 0.18901080E+04
 0.20179862E+00 0.18733439E+04
 0.20270908E+00 0.18563772E+04
 0.20361952E+00 0.18392379E+04
 0.20452997E+00 0.18219580E+04
 0.20544042E+00 0.18045697E+04
 0.20635086E+00 0.17871071E+04
 0.20726131E+00 0.17696052E+04
 0.20817176E+00 0.17520989E+04
 0.20908222E+00 0.17346235E+04
 0.20999266E+00 0.17172134E+04
 0.21090311E+00 0.16999025E+04
 0.21181355E+00 0.16827249E+04
 0.21272400E+00 0.16657126E+04
 0.21363445E+00 0.16488966E+04
 0.21454489E+00 0.16323053E+04
 0.21545535E+00 0.16159674E+04
 0.21636580E+00 0.15999073E+04
 0.21921268E+00 0.15517284E+04
 0.22209701E+00 0.15064869E+04
 0.22501929E+00 0.14646685E+04
 0.22798003E+00 0.14265293E+04
 0.23097973E+00 0.13920817E+04
 0.23401889E+00 0.13610985E+04
 0.23709804E+00 0.13331348E+04
 0.24021772E+00 0.13075682E+04
 0.24337843E+00 0.12836520E+04
 0.24658072E+00 0.12605823E+04
 0.24982516E+00 0.12375718E+04
 0.25311229E+00 0.12139241E+04
 0.25644267E+00 0.11891019E+04
 0.25981686E+00 0.11627800E+04
 0.26323545E+00 0.11348738E+04
 0.26669905E+00 0.11055420E+04
 0.27020818E+00 0.10751595E+04
 0.27376351E+00 0.10442642E+04
 0.27736560E+00 0.10134844E+04
 0.28101510E+00 0.98345941E+03
 0.28471261E+00 0.95475916E+03
 0.28845876E+00 0.92781781E+03
 0.29225424E+00 0.90288666E+03
 0.29609963E+00 0.88001074E+03
 0.29999563E+00 0.85903400E+03
 0.30394286E+00 0.83962720E+03
 0.30794206E+00 0.82133972E+03
 0.31199387E+00 0.80366516E+03
 0.31609899E+00 0.78611664E+03
 0.32025814E+00 0.76829523E+03
 0.32447201E+00 0.74994604E+03
 0.32874131E+00 0.73098901E+03
 0.33306679E+00 0.71152118E+03
 0.33744919E+00 0.69178687E+03
 0.34188923E+00 0.67212524E+03
 0.34638771E+00 0.65290283E+03
 0.35094538E+00 0.63444574E+03
 0.35556301E+00 0.61698285E+03
 0.36024141E+00 0.60061041E+03
 0.36498135E+00 0.58528369E+03
 0.36978367E+00 0.57083521E+03
 0.37464920E+00 0.55701501E+03
 0.37957871E+00 0.54354639E+03
 0.38457310E+00 0.53018311E+03
 0.38963321E+00 0.51675696E+03
 0.39475986E+00 0.50320682E+03
 0.39995402E+00 0.48958063E+03
 0.40521649E+00 0.47601260E+03
 0.41054821E+00 0.46268192E+03
 0.41595009E+00 0.44976343E+03
 0.42142302E+00 0.43738416E+03
 0.42696798E+00 0.42559518E+03
 0.43258590E+00 0.41436530E+03
 0.43827775E+00 0.40359659E+03
 0.44404447E+00 0.39315604E+03
 0.44988707E+00 0.38291443E+03
 0.45580655E+00 0.37277972E+03
 0.46180394E+00 0.36271811E+03
 0.46788022E+00 0.35275443E+03
 0.47403646E+00 0.34295587E+03
 0.48027366E+00 0.33340430E+03
 0.48659298E+00 0.32416632E+03
 0.49299541E+00 0.31527240E+03
 0.49948213E+00 0.30671039E+03
 0.50605416E+00 0.29843335E+03
 0.51271266E+00 0.29037927E+03
 0.51945877E+00 0.28249301E+03
 0.52629369E+00 0.27474356E+03
 0.53321850E+00 0.26712979E+03
 0.54023445E+00 0.25967487E+03
 0.54734266E+00 0.25241113E+03
 0.55454445E+00 0.24536435E+03
 0.56184095E+00 0.23854260E+03
 0.56923354E+00 0.23193396E+03
 0.57672334E+00 0.22551320E+03
 0.58431166E+00 0.21925320E+03
 0.59199989E+00 0.21313547E+03
 0.59978926E+00 0.20715498E+03
 0.60768110E+00 0.20131821E+03
 0.61567676E+00 0.19563618E+03
 0.62377769E+00 0.19011633E+03
 0.63198513E+00 0.18475792E+03
 0.64030063E+00 0.17955208E+03
 0.64872551E+00 0.17448625E+03
 0.65726125E+00 0.16954988E+03
 0.70779580E+00 0.14393553E+03
 0.76221579E+00 0.12203509E+03
 0.82081997E+00 0.10332531E+03
 0.88393003E+00 0.87368210E+02
 0.95189238E+00 0.73783440E+02
 0.10250801E+01 0.62236397E+02
 0.11038949E+01 0.52433830E+02
 0.11887697E+01 0.44125469E+02
 0.12801701E+01 0.37093563E+02
 0.13785980E+01 0.31148718E+02
 0.14845936E+01 0.26130346E+02
 0.15987390E+01 0.21898569E+02
 0.17216606E+01 0.18334770E+02
 0.18540331E+01 0.15336665E+02
 0.19965833E+01 0.12817438E+02
 0.21500938E+01 0.10702705E+02
 0.23154073E+01 0.89294014E+01
 0.24934309E+01 0.74438686E+01
 0.26851423E+01 0.62005973E+01
 0.28915937E+01 0.51610508E+01
 0.31139183E+01 0.42926106E+01
 0.33533368E+01 0.35677431E+01
 0.36111634E+01 0.29632208E+01
 0.38888135E+01 0.24594748E+01
 0.41878109E+01 0.20400310E+01
 0.45097976E+01 0.16910441E+01
 0.48565402E+01 0.14008950E+01
 0.52299428E+01 0.11598362E+01
 0.56320553E+01 0.95969844E+00
 0.60650849E+01 0.79364616E+00
 0.65314083E+01 0.65596521E+00
 0.70335860E+01 0.54187900E+00
 0.75743742E+01 0.44740161E+00
 0.81567421E+01 0.36921006E+00
 0.87838860E+01 0.30453345E+00
 0.94592485E+01 0.25106597E+00
 0.10186538E+02 0.20688926E+00
 0.10969746E+02 0.17040774E+00
 0.11813172E+02 0.14029692E+00
 0.12721447E+02 0.11545640E+00
 0.13699555E+02 0.94973847E-01
 0.14752867E+02 0.78092672E-01
 0.15887164E+02 0.64186051E-01
 0.17108673E+02 0.52735027E-01
 0.18424101E+02 0.43310117E-01
 0.19840668E+02 0.35556126E-01
 0.21366148E+02 0.29179506E-01
 0.23008917E+02 0.23937678E-01
 0.24777994E+02 0.19630447E-01
 0.26683090E+02 0.16092524E-01
 0.28734661E+02 0.13187609E-01
 0.30943970E+02 0.10803336E-01
 0.33323147E+02 0.88470960E-02
 0.35885250E+02 0.72426163E-02
 0.38644341E+02 0.59271082E-02
 0.41615574E+02 0.48488975E-02
 0.44815250E+02 0.39654751E-02
 0.48260944E+02 0.32418920E-02
 0.51971561E+02 0.26494211E-02
 0.55967476E+02 0.21644633E-02
 0.60270626E+02 0.17676359E-02
 0.64904625E+02 0.14430267E-02
 0.69894920E+02 0.11775774E-02
 0.75268898E+02 0.96057483E-03
 0.81056068E+02 0.78323390E-03
 0.87288193E+02 0.63835247E-03
 0.93999481E+02 0.52002794E-03
 0.10122678E+03 0.42342505E-03
