#           k/h    P           
 0.73746312E-04 0.31704907E+03
 0.82412909E-04 0.35294727E+03
 0.92098002E-04 0.39290311E+03
 0.10292127E-03 0.43737244E+03
 0.11501648E-03 0.48686185E+03
 0.12853311E-03 0.54193243E+03
 0.14363820E-03 0.60320703E+03
 0.16051844E-03 0.67137482E+03
 0.17938240E-03 0.74719763E+03
 0.20046326E-03 0.83151758E+03
 0.22402151E-03 0.92526202E+03
 0.25034833E-03 0.10294518E+04
 0.27976901E-03 0.11452059E+04
 0.31264720E-03 0.12737498E+04
 0.34938921E-03 0.14164183E+04
 0.39044913E-03 0.15746646E+04
 0.43633435E-03 0.17500610E+04
 0.48761195E-03 0.19443087E+04
 0.54491562E-03 0.21592405E+04
 0.60895365E-03 0.23968357E+04
 0.68051729E-03 0.26592290E+04
 0.76049106E-03 0.29487312E+04
 0.84986322E-03 0.32678564E+04
 0.94973837E-03 0.36193389E+04
 0.10613507E-02 0.40061401E+04
 0.11860797E-02 0.44314302E+04
 0.13254667E-02 0.48985215E+04
 0.14812343E-02 0.54107783E+04
 0.16553076E-02 0.59714956E+04
 0.18498377E-02 0.65837896E+04
 0.20672290E-02 0.72504731E+04
 0.23101678E-02 0.79739097E+04
 0.25816567E-02 0.87558457E+04
 0.28850504E-02 0.95971914E+04
 0.32240988E-02 0.10497805E+05
 0.36029920E-02 0.11456201E+05
 0.40264120E-02 0.12469249E+05
 0.44995924E-02 0.13531851E+05
 0.50283805E-02 0.14636555E+05
 0.50845630E-02 0.14748976E+05
 0.51413728E-02 0.14861707E+05
 0.51988177E-02 0.14974732E+05
 0.52569048E-02 0.15088045E+05
 0.53156405E-02 0.15201630E+05
 0.53750323E-02 0.15315477E+05
 0.54350882E-02 0.15429568E+05
 0.54958146E-02 0.15543891E+05
 0.55572200E-02 0.15658433E+05
 0.56193108E-02 0.15773178E+05
 0.56820959E-02 0.15888114E+05
 0.57455823E-02 0.16003218E+05
 0.58097783E-02 0.16118485E+05
 0.58746911E-02 0.16233896E+05
 0.59403297E-02 0.16349427E+05
 0.60067014E-02 0.16465074E+05
 0.60738144E-02 0.16580807E+05
 0.61416775E-02 0.16696613E+05
 0.62102992E-02 0.16812486E+05
 0.62796869E-02 0.16928391E+05
 0.63498504E-02 0.17044316E+05
 0.64207977E-02 0.17160244E+05
 0.64925379E-02 0.17276154E+05
 0.65650796E-02 0.17392025E+05
 0.66384315E-02 0.17507836E+05
 0.67126034E-02 0.17623574E+05
 0.67876037E-02 0.17739211E+05
 0.68634418E-02 0.17854725E+05
 0.69401278E-02 0.17970094E+05
 0.70176702E-02 0.18085299E+05
 0.70960792E-02 0.18200316E+05
 0.71753641E-02 0.18315125E+05
 0.72555346E-02 0.18429697E+05
 0.73366016E-02 0.18544012E+05
 0.74185738E-02 0.18658041E+05
 0.75014620E-02 0.18771760E+05
 0.75852764E-02 0.18885148E+05
 0.76700272E-02 0.18998178E+05
 0.77557247E-02 0.19110820E+05
 0.78423806E-02 0.19223053E+05
 0.79300040E-02 0.19334844E+05
 0.80186063E-02 0.19446166E+05
 0.81081986E-02 0.19556994E+05
 0.81987921E-02 0.19667299E+05
 0.82903979E-02 0.19777051E+05
 0.83830273E-02 0.19886217E+05
 0.84766913E-02 0.19994775E+05
 0.85714012E-02 0.20102686E+05
 0.86671701E-02 0.20209924E+05
 0.87640090E-02 0.20316451E+05
 0.88619301E-02 0.20422250E+05
 0.89609455E-02 0.20527275E+05
 0.90610664E-02 0.20631494E+05
 0.91623068E-02 0.20734887E+05
 0.92646778E-02 0.20837400E+05
 0.93681924E-02 0.20939014E+05
 0.94728637E-02 0.21039686E+05
 0.95787048E-02 0.21139385E+05
 0.96857287E-02 0.21238074E+05
 0.97939475E-02 0.21335713E+05
 0.99033760E-02 0.21432277E+05
 0.10014027E-01 0.21527721E+05
 0.10125915E-01 0.21622000E+05
 0.10239053E-01 0.21715090E+05
 0.10353453E-01 0.21806943E+05
 0.10469134E-01 0.21897529E+05
 0.10586106E-01 0.21986801E+05
 0.10704385E-01 0.22074717E+05
 0.10823986E-01 0.22161250E+05
 0.10944923E-01 0.22246342E+05
 0.11067212E-01 0.22329965E+05
 0.11190866E-01 0.22412076E+05
 0.11315903E-01 0.22492629E+05
 0.11442336E-01 0.22571582E+05
 0.11570182E-01 0.22648896E+05
 0.11699457E-01 0.22724529E+05
 0.11830175E-01 0.22798438E+05
 0.11962355E-01 0.22870576E+05
 0.12096011E-01 0.22940900E+05
 0.12231161E-01 0.23009369E+05
 0.12367820E-01 0.23075930E+05
 0.12506006E-01 0.23140551E+05
 0.12645737E-01 0.23203186E+05
 0.12787029E-01 0.23263783E+05
 0.12929899E-01 0.23322299E+05
 0.13074365E-01 0.23378693E+05
 0.13220446E-01 0.23432916E+05
 0.13368160E-01 0.23484924E+05
 0.13517523E-01 0.23534672E+05
 0.13668555E-01 0.23582113E+05
 0.13821275E-01 0.23627209E+05
 0.13975700E-01 0.23669906E+05
 0.14131852E-01 0.23710160E+05
 0.14289748E-01 0.23747930E+05
 0.14449408E-01 0.23783170E+05
 0.14610853E-01 0.23815832E+05
 0.14774101E-01 0.23845875E+05
 0.14939173E-01 0.23873258E+05
 0.15106089E-01 0.23897926E+05
 0.15274871E-01 0.23919846E+05
 0.15445538E-01 0.23938973E+05
 0.15618112E-01 0.23955264E+05
 0.15792614E-01 0.23968678E+05
 0.15969066E-01 0.23979168E+05
 0.16147491E-01 0.23986707E+05
 0.16327906E-01 0.23991236E+05
 0.16510339E-01 0.23992730E+05
 0.16694810E-01 0.23991148E+05
 0.16881343E-01 0.23986451E+05
 0.17069960E-01 0.23978607E+05
 0.17260684E-01 0.23967576E+05
 0.17453538E-01 0.23953326E+05
 0.17648548E-01 0.23935824E+05
 0.17845737E-01 0.23915033E+05
 0.18045127E-01 0.23890934E+05
 0.18246748E-01 0.23863492E+05
 0.18450620E-01 0.23832686E+05
 0.18656770E-01 0.23798482E+05
 0.18865222E-01 0.23760859E+05
 0.19076005E-01 0.23719795E+05
 0.19289143E-01 0.23675275E+05
 0.19504661E-01 0.23627277E+05
 0.19722588E-01 0.23575789E+05
 0.19942950E-01 0.23520791E+05
 0.20165775E-01 0.23462281E+05
 0.20391088E-01 0.23400236E+05
 0.20618919E-01 0.23334660E+05
 0.20849295E-01 0.23265547E+05
 0.21082247E-01 0.23192900E+05
 0.21317799E-01 0.23116713E+05
 0.21555984E-01 0.23037000E+05
 0.21796832E-01 0.22953760E+05
 0.22040369E-01 0.22867008E+05
 0.22286627E-01 0.22776756E+05
 0.22535637E-01 0.22683021E+05
 0.22787429E-01 0.22585826E+05
 0.23042034E-01 0.22485189E+05
 0.23299485E-01 0.22381145E+05
 0.23559812E-01 0.22273719E+05
 0.23823047E-01 0.22162945E+05
 0.24089225E-01 0.22048869E+05
 0.24358375E-01 0.21931531E+05
 0.24630532E-01 0.21810969E+05
 0.24905732E-01 0.21687238E+05
 0.25184004E-01 0.21560396E+05
 0.25465388E-01 0.21430488E+05
 0.25749914E-01 0.21297598E+05
 0.26037619E-01 0.21161771E+05
 0.26328539E-01 0.21023096E+05
 0.26622711E-01 0.20881627E+05
 0.26920168E-01 0.20737455E+05
 0.27220948E-01 0.20590660E+05
 0.27525090E-01 0.20441338E+05
 0.27832629E-01 0.20289562E+05
 0.28143605E-01 0.20135445E+05
 0.28458055E-01 0.19979074E+05
 0.28776020E-01 0.19820555E+05
 0.29097537E-01 0.19660002E+05
 0.29422645E-01 0.19497512E+05
 0.29751386E-01 0.19333211E+05
 0.30083800E-01 0.19167211E+05
 0.30419929E-01 0.18999637E+05
 0.30759813E-01 0.18830609E+05
 0.31103494E-01 0.18660264E+05
 0.31451017E-01 0.18488723E+05
 0.31802420E-01 0.18316125E+05
 0.32157749E-01 0.18142605E+05
 0.32517049E-01 0.17968305E+05
 0.32880366E-01 0.17793359E+05
 0.33247743E-01 0.17617918E+05
 0.33619221E-01 0.17442121E+05
 0.33994850E-01 0.17266113E+05
 0.34374677E-01 0.17090045E+05
 0.34758747E-01 0.16914061E+05
 0.35147108E-01 0.16738311E+05
 0.35539810E-01 0.16562949E+05
 0.35936899E-01 0.16388113E+05
 0.36338426E-01 0.16213957E+05
 0.36744438E-01 0.16040628E+05
 0.37154984E-01 0.15868270E+05
 0.37570119E-01 0.15697022E+05
 0.37989892E-01 0.15527035E+05
 0.38414355E-01 0.15358441E+05
 0.38843565E-01 0.15191381E+05
 0.39277565E-01 0.15025984E+05
 0.39716415E-01 0.14862384E+05
 0.40160172E-01 0.14700705E+05
 0.40608883E-01 0.14541061E+05
 0.41062608E-01 0.14383577E+05
 0.41521404E-01 0.14228355E+05
 0.41985326E-01 0.14075502E+05
 0.42454429E-01 0.13925116E+05
 0.42928778E-01 0.13777289E+05
 0.43408424E-01 0.13632101E+05
 0.43893427E-01 0.13489627E+05
 0.44383854E-01 0.13349941E+05
 0.44879757E-01 0.13213096E+05
 0.45381200E-01 0.13079141E+05
 0.45888249E-01 0.12948121E+05
 0.46400961E-01 0.12820062E+05
 0.46919402E-01 0.12694986E+05
 0.47443636E-01 0.12572901E+05
 0.47973726E-01 0.12453807E+05
 0.48509739E-01 0.12337689E+05
 0.49051743E-01 0.12224526E+05
 0.49599800E-01 0.12114276E+05
 0.50153982E-01 0.12006892E+05
 0.50714359E-01 0.11902312E+05
 0.51280994E-01 0.11800463E+05
 0.51853959E-01 0.11701256E+05
 0.52433327E-01 0.11604588E+05
 0.53019166E-01 0.11510348E+05
 0.53611554E-01 0.11418410E+05
 0.54210559E-01 0.11328632E+05
 0.54816257E-01 0.11240863E+05
 0.55428725E-01 0.11154938E+05
 0.56048032E-01 0.11070673E+05
 0.56674261E-01 0.10987887E+05
 0.57307485E-01 0.10906375E+05
 0.57947788E-01 0.10825927E+05
 0.58858234E-01 0.10714420E+05
 0.59768684E-01 0.10613635E+05
 0.60679134E-01 0.10506849E+05
 0.61589580E-01 0.10401286E+05
 0.62500030E-01 0.10296317E+05
 0.63410476E-01 0.10191356E+05
 0.64320922E-01 0.10085874E+05
 0.65231375E-01 0.99794053E+04
 0.66141821E-01 0.98715273E+04
 0.67052267E-01 0.97618906E+04
 0.67962721E-01 0.96502080E+04
 0.68873167E-01 0.95362383E+04
 0.69783613E-01 0.94198184E+04
 0.70694067E-01 0.93008379E+04
 0.71604513E-01 0.91792471E+04
 0.72514959E-01 0.90550479E+04
 0.73425412E-01 0.89283057E+04
 0.74335858E-01 0.87990938E+04
 0.75246304E-01 0.86676338E+04
 0.76156750E-01 0.85340977E+04
 0.77067204E-01 0.83987217E+04
 0.77977650E-01 0.82617812E+04
 0.78888096E-01 0.81235708E+04
 0.79798549E-01 0.79844199E+04
 0.80708995E-01 0.78446675E+04
 0.81619442E-01 0.77046714E+04
 0.82529895E-01 0.75647954E+04
 0.83440341E-01 0.74254082E+04
 0.84350787E-01 0.72868730E+04
 0.85261241E-01 0.71495562E+04
 0.86171687E-01 0.70138057E+04
 0.87082133E-01 0.68799644E+04
 0.87992579E-01 0.67483496E+04
 0.88903032E-01 0.66192690E+04
 0.89813478E-01 0.64930034E+04
 0.90723924E-01 0.63698135E+04
 0.91634378E-01 0.62499307E+04
 0.92544824E-01 0.61335601E+04
 0.93455270E-01 0.60208833E+04
 0.94365723E-01 0.59120518E+04
 0.95276169E-01 0.58071895E+04
 0.96186616E-01 0.57063906E+04
 0.97097069E-01 0.56097236E+04
 0.98007515E-01 0.55172295E+04
 0.98917961E-01 0.54289233E+04
 0.99828407E-01 0.53447915E+04
 0.10073886E+00 0.52648052E+04
 0.10164931E+00 0.51889004E+04
 0.10255975E+00 0.51170020E+04
 0.10347021E+00 0.50490073E+04
 0.10438065E+00 0.49848003E+04
 0.10529110E+00 0.49242437E+04
 0.10620155E+00 0.48671875E+04
 0.10711200E+00 0.48134658E+04
 0.10802244E+00 0.47628989E+04
 0.10893289E+00 0.47152998E+04
 0.10984334E+00 0.46704697E+04
 0.11075379E+00 0.46282021E+04
 0.11166424E+00 0.45882822E+04
 0.11257469E+00 0.45504961E+04
 0.11348514E+00 0.45146206E+04
 0.11439558E+00 0.44804351E+04
 0.11530603E+00 0.44477178E+04
 0.11621648E+00 0.44162476E+04
 0.11712693E+00 0.43858091E+04
 0.11803738E+00 0.43561890E+04
 0.11894783E+00 0.43271807E+04
 0.11985827E+00 0.42985869E+04
 0.12076872E+00 0.42702148E+04
 0.12167917E+00 0.42418887E+04
 0.12258962E+00 0.42134370E+04
 0.12350006E+00 0.41847041E+04
 0.12441052E+00 0.41555479E+04
 0.12532096E+00 0.41258384E+04
 0.12623142E+00 0.40954634E+04
 0.12714186E+00 0.40643230E+04
 0.12805231E+00 0.40323345E+04
 0.12896276E+00 0.39994316E+04
 0.12987320E+00 0.39655635E+04
 0.13078365E+00 0.39306965E+04
 0.13169411E+00 0.38948115E+04
 0.13260455E+00 0.38579048E+04
 0.13351500E+00 0.38199890E+04
 0.13442545E+00 0.37810889E+04
 0.13533589E+00 0.37412458E+04
 0.13624634E+00 0.37005100E+04
 0.13715678E+00 0.36589468E+04
 0.13806725E+00 0.36166292E+04
 0.13897769E+00 0.35736414E+04
 0.13988814E+00 0.35300732E+04
 0.14079858E+00 0.34860239E+04
 0.14170903E+00 0.34415979E+04
 0.14261948E+00 0.33969009E+04
 0.14352994E+00 0.33520459E+04
 0.14444038E+00 0.33071428E+04
 0.14535083E+00 0.32623057E+04
 0.14626127E+00 0.32176467E+04
 0.14717172E+00 0.31732756E+04
