#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.184984E-02   0.188795E+08   0.188791E+08   0.173029E+06   0.158625E+06   0.000000E+00   0.188795E+08   0.188795E+08   0.187481E+08  -0.447571E+00   0.978017E+07   0.978016E+07   0.826460E+00
   0.206723E-02   0.187771E+08   0.187766E+08   0.692576E+05   0.646992E+05   0.000000E+00   0.187771E+08   0.187771E+08   0.186696E+08  -0.444866E+00   0.972814E+07   0.972813E+07   0.903732E+00
   0.231017E-02   0.186627E+08   0.186621E+08   0.598283E+05   0.577920E+05   0.000000E+00   0.186626E+08   0.186626E+08   0.185752E+08  -0.441930E+00   0.966975E+07   0.966974E+07   0.987623E+00
   0.258166E-02   0.185346E+08   0.185338E+08   0.438076E+05   0.356614E+05   0.000000E+00   0.185344E+08   0.185344E+08   0.184637E+08  -0.438713E+00   0.960409E+07   0.960409E+07   0.107866E+01
   0.288505E-02   0.183907E+08   0.183898E+08   0.220096E+05   0.131738E+05   0.000000E+00   0.183906E+08   0.183906E+08   0.183335E+08  -0.435162E+00   0.953020E+07   0.953019E+07   0.117740E+01
   0.322410E-02   0.182293E+08   0.182281E+08   0.235769E+05   0.112778E+05   0.000000E+00   0.182291E+08   0.182291E+08   0.181833E+08  -0.431225E+00   0.944707E+07   0.944706E+07   0.128441E+01
   0.360299E-02   0.180482E+08   0.180468E+08   0.113644E+05   0.292398E+04   0.000000E+00   0.180480E+08   0.180480E+08   0.180114E+08  -0.426848E+00   0.935367E+07   0.935366E+07   0.140028E+01
   0.402641E-02   0.178455E+08   0.178437E+08   0.381758E+04  -0.373690E+04   0.000000E+00   0.178452E+08   0.178452E+08   0.178160E+08  -0.421979E+00   0.924894E+07   0.924892E+07   0.152561E+01
   0.449959E-02   0.176190E+08   0.176168E+08   0.921948E+04   0.355690E+04   0.000000E+00   0.176187E+08   0.176187E+08   0.175954E+08  -0.416563E+00   0.913183E+07   0.913180E+07   0.166098E+01
   0.502838E-02   0.173667E+08   0.173639E+08   0.602544E+04   0.165008E+05   0.000000E+00   0.173663E+08   0.173663E+08   0.173479E+08  -0.410549E+00   0.900125E+07   0.900122E+07   0.180691E+01
   0.508456E-02   0.173400E+08   0.173372E+08   0.601938E+04   0.164594E+05   0.000000E+00   0.173395E+08   0.173395E+08   0.173216E+08  -0.409913E+00   0.898741E+07   0.898739E+07   0.182210E+01
   0.514137E-02   0.173130E+08   0.173101E+08   0.531782E+04   0.162904E+05   0.000000E+00   0.173125E+08   0.173125E+08   0.172949E+08  -0.409270E+00   0.897343E+07   0.897340E+07   0.183741E+01
   0.519882E-02   0.172857E+08   0.172827E+08   0.404151E+04   0.160790E+05   0.000000E+00   0.172852E+08   0.172852E+08   0.172680E+08  -0.408621E+00   0.895930E+07   0.895927E+07   0.185282E+01
   0.525690E-02   0.172581E+08   0.172551E+08   0.248210E+04   0.159138E+05   0.000000E+00   0.172576E+08   0.172576E+08   0.172409E+08  -0.407965E+00   0.894502E+07   0.894499E+07   0.186834E+01
   0.531564E-02   0.172302E+08   0.172271E+08   0.102672E+04   0.158735E+05   0.000000E+00   0.172297E+08   0.172297E+08   0.172134E+08  -0.407302E+00   0.893059E+07   0.893056E+07   0.188398E+01
   0.537503E-02   0.172021E+08   0.171989E+08   0.508596E+02   0.160074E+05   0.000000E+00   0.172016E+08   0.172016E+08   0.171856E+08  -0.406633E+00   0.891601E+07   0.891598E+07   0.189973E+01
   0.543509E-02   0.171736E+08   0.171704E+08  -0.191104E+03   0.163168E+05   0.000000E+00   0.171731E+08   0.171731E+08   0.171575E+08  -0.405956E+00   0.890128E+07   0.890124E+07   0.191559E+01
   0.549581E-02   0.171449E+08   0.171416E+08   0.355163E+03   0.167450E+05   0.000000E+00   0.171444E+08   0.171444E+08   0.171291E+08  -0.405273E+00   0.888639E+07   0.888636E+07   0.193156E+01
   0.555722E-02   0.171158E+08   0.171125E+08   0.152172E+04   0.171843E+05   0.000000E+00   0.171153E+08   0.171153E+08   0.171004E+08  -0.404583E+00   0.887135E+07   0.887132E+07   0.194765E+01
   0.561931E-02   0.170865E+08   0.170831E+08   0.296340E+04   0.175005E+05   0.000000E+00   0.170860E+08   0.170860E+08   0.170714E+08  -0.403886E+00   0.885616E+07   0.885613E+07   0.196384E+01
   0.568210E-02   0.170569E+08   0.170534E+08   0.425987E+04   0.175738E+05   0.000000E+00   0.170563E+08   0.170563E+08   0.170421E+08  -0.403182E+00   0.884081E+07   0.884078E+07   0.198015E+01
   0.574558E-02   0.170269E+08   0.170234E+08   0.504482E+04   0.173416E+05   0.000000E+00   0.170264E+08   0.170264E+08   0.170125E+08  -0.402471E+00   0.882531E+07   0.882527E+07   0.199658E+01
   0.580978E-02   0.169967E+08   0.169931E+08   0.512106E+04   0.168283E+05   0.000000E+00   0.169961E+08   0.169961E+08   0.169826E+08  -0.401753E+00   0.880964E+07   0.880961E+07   0.201312E+01
   0.587469E-02   0.169662E+08   0.169624E+08   0.452182E+04   0.161489E+05   0.000000E+00   0.169656E+08   0.169656E+08   0.169523E+08  -0.401028E+00   0.879382E+07   0.879378E+07   0.202977E+01
   0.594033E-02   0.169353E+08   0.169315E+08   0.349481E+04   0.154775E+05   0.000000E+00   0.169347E+08   0.169347E+08   0.169218E+08  -0.400295E+00   0.877784E+07   0.877780E+07   0.204653E+01
   0.600670E-02   0.169042E+08   0.169003E+08   0.241135E+04   0.149902E+05   0.000000E+00   0.169035E+08   0.169035E+08   0.168909E+08  -0.399556E+00   0.876170E+07   0.876166E+07   0.206341E+01
   0.607381E-02   0.168727E+08   0.168687E+08   0.163062E+04   0.147991E+05   0.000000E+00   0.168721E+08   0.168721E+08   0.168597E+08  -0.398809E+00   0.874539E+07   0.874535E+07   0.208040E+01
   0.614168E-02   0.168409E+08   0.168368E+08   0.136807E+04   0.149047E+05   0.000000E+00   0.168403E+08   0.168403E+08   0.168282E+08  -0.398054E+00   0.872892E+07   0.872888E+07   0.209750E+01
   0.621030E-02   0.168088E+08   0.168047E+08   0.161822E+04   0.151874E+05   0.000000E+00   0.168081E+08   0.168081E+08   0.167964E+08  -0.397292E+00   0.871229E+07   0.871225E+07   0.211472E+01
   0.627969E-02   0.167764E+08   0.167722E+08   0.216418E+04   0.154480E+05   0.000000E+00   0.167757E+08   0.167757E+08   0.167642E+08  -0.396523E+00   0.869549E+07   0.869545E+07   0.213205E+01
   0.634985E-02   0.167436E+08   0.167393E+08   0.267275E+04   0.154856E+05   0.000000E+00   0.167430E+08   0.167430E+08   0.167317E+08  -0.395746E+00   0.867853E+07   0.867849E+07   0.214950E+01
   0.642080E-02   0.167106E+08   0.167062E+08   0.283884E+04   0.151834E+05   0.000000E+00   0.167099E+08   0.167099E+08   0.166989E+08  -0.394962E+00   0.866140E+07   0.866136E+07   0.216705E+01
   0.649254E-02   0.166772E+08   0.166727E+08   0.251926E+04   0.145642E+05   0.000000E+00   0.166765E+08   0.166765E+08   0.166658E+08  -0.394170E+00   0.864410E+07   0.864406E+07   0.218472E+01
   0.656508E-02   0.166435E+08   0.166389E+08   0.179745E+04   0.137888E+05   0.000000E+00   0.166428E+08   0.166428E+08   0.166323E+08  -0.393371E+00   0.862663E+07   0.862659E+07   0.220251E+01
   0.663843E-02   0.166094E+08   0.166048E+08   0.947379E+03   0.130907E+05   0.000000E+00   0.166087E+08   0.166087E+08   0.165985E+08  -0.392564E+00   0.860899E+07   0.860895E+07   0.222040E+01
   0.671260E-02   0.165751E+08   0.165703E+08   0.309547E+03   0.126722E+05   0.000000E+00   0.165743E+08   0.165743E+08   0.165644E+08  -0.391749E+00   0.859118E+07   0.859114E+07   0.223841E+01
   0.678760E-02   0.165404E+08   0.165355E+08   0.133439E+03   0.126077E+05   0.000000E+00   0.165396E+08   0.165396E+08   0.165299E+08  -0.390926E+00   0.857320E+07   0.857316E+07   0.225653E+01
   0.686344E-02   0.165053E+08   0.165004E+08   0.460717E+03   0.128032E+05   0.000000E+00   0.165046E+08   0.165046E+08   0.164951E+08  -0.390095E+00   0.855505E+07   0.855500E+07   0.227476E+01
   0.694013E-02   0.164700E+08   0.164649E+08   0.110771E+04   0.130357E+05   0.000000E+00   0.164692E+08   0.164692E+08   0.164599E+08  -0.389257E+00   0.853672E+07   0.853667E+07   0.229310E+01
   0.701767E-02   0.164343E+08   0.164291E+08   0.175951E+04   0.130606E+05   0.000000E+00   0.164335E+08   0.164335E+08   0.164244E+08  -0.388411E+00   0.851821E+07   0.851816E+07   0.231156E+01
