#           k/h    P           
 0.21082247E-01 0.24540574E+05
 0.21317799E-01 0.24459994E+05
 0.21555984E-01 0.24375676E+05
 0.21796832E-01 0.24287627E+05
 0.22040369E-01 0.24195867E+05
 0.22286627E-01 0.24100402E+05
 0.22535637E-01 0.24001244E+05
 0.22787429E-01 0.23898426E+05
 0.23042034E-01 0.23791973E+05
 0.23299485E-01 0.23681908E+05
 0.23559812E-01 0.23568268E+05
 0.23823047E-01 0.23451084E+05
 0.24089225E-01 0.23330400E+05
 0.24358375E-01 0.23206260E+05
 0.24630532E-01 0.23078709E+05
 0.24905732E-01 0.22947816E+05
 0.25184004E-01 0.22813619E+05
 0.25465388E-01 0.22676189E+05
 0.25749914E-01 0.22535590E+05
 0.26037619E-01 0.22391893E+05
 0.26328539E-01 0.22245166E+05
 0.26622711E-01 0.22095500E+05
 0.26920168E-01 0.21942967E+05
 0.27220948E-01 0.21787660E+05
 0.27525090E-01 0.21629668E+05
 0.27832629E-01 0.21469086E+05
 0.28143605E-01 0.21306021E+05
 0.28458055E-01 0.21140578E+05
 0.28776020E-01 0.20972863E+05
 0.29097537E-01 0.20802984E+05
 0.29422645E-01 0.20631068E+05
 0.29751386E-01 0.20457225E+05
 0.30083800E-01 0.20281588E+05
 0.30419929E-01 0.20104289E+05
 0.30759813E-01 0.19925447E+05
 0.31103494E-01 0.19745207E+05
 0.31451017E-01 0.19563707E+05
 0.31802420E-01 0.19381084E+05
 0.32157749E-01 0.19197488E+05
 0.32517049E-01 0.19013061E+05
 0.32880366E-01 0.18827955E+05
 0.33247743E-01 0.18642322E+05
 0.33619221E-01 0.18456314E+05
 0.33994850E-01 0.18270080E+05
 0.34374677E-01 0.18083781E+05
 0.34758747E-01 0.17897580E+05
 0.35147108E-01 0.17711619E+05
 0.35539810E-01 0.17526062E+05
 0.35936899E-01 0.17341072E+05
 0.36338426E-01 0.17156799E+05
 0.36744438E-01 0.16973395E+05
 0.37154984E-01 0.16791020E+05
 0.37570119E-01 0.16609824E+05
 0.37989892E-01 0.16429961E+05
 0.38414355E-01 0.16251567E+05
 0.38843565E-01 0.16074800E+05
 0.39277565E-01 0.15899792E+05
 0.39716415E-01 0.15726684E+05
 0.40160172E-01 0.15555606E+05
 0.40608883E-01 0.15386686E+05
 0.41062608E-01 0.15220048E+05
 0.41521404E-01 0.15055803E+05
 0.41985326E-01 0.14894068E+05
 0.42454429E-01 0.14734940E+05
 0.42928778E-01 0.14578521E+05
 0.43408424E-01 0.14424893E+05
 0.43893427E-01 0.14274141E+05
 0.44383854E-01 0.14126333E+05
 0.44879757E-01 0.13981534E+05
 0.45381200E-01 0.13839795E+05
 0.45888249E-01 0.13701158E+05
 0.46400961E-01 0.13565655E+05
 0.46919402E-01 0.13433309E+05
 0.47443636E-01 0.13304127E+05
 0.47973726E-01 0.13178108E+05
 0.48509739E-01 0.13055243E+05
 0.49051743E-01 0.12935502E+05
 0.49599800E-01 0.12818841E+05
 0.50153982E-01 0.12705215E+05
 0.50714359E-01 0.12594558E+05
 0.51280994E-01 0.12486788E+05
 0.51853959E-01 0.12381811E+05
 0.52433327E-01 0.12279523E+05
 0.53019166E-01 0.12179805E+05
 0.53611554E-01 0.12082521E+05
 0.54210559E-01 0.11987526E+05
 0.54816257E-01 0.11894654E+05
 0.55428725E-01 0.11803732E+05
 0.56048032E-01 0.11714573E+05
 0.56674261E-01 0.11626975E+05
 0.57307485E-01 0.11540723E+05
 0.57947788E-01 0.11455597E+05
 0.58858234E-01 0.11337605E+05
 0.59768684E-01 0.11230961E+05
 0.60679134E-01 0.11117968E+05
 0.61589580E-01 0.11006269E+05
 0.62500030E-01 0.10895194E+05
 0.63410476E-01 0.10784130E+05
 0.64320922E-01 0.10672516E+05
 0.65231375E-01 0.10559855E+05
 0.66141821E-01 0.10445703E+05
 0.67052267E-01 0.10329695E+05
 0.67962721E-01 0.10211516E+05
 0.68873167E-01 0.10090921E+05
 0.69783613E-01 0.99677295E+04
 0.70694067E-01 0.98418311E+04
 0.71604513E-01 0.97131680E+04
 0.72514959E-01 0.95817451E+04
 0.73425412E-01 0.94476328E+04
 0.74335858E-01 0.93109053E+04
 0.75246304E-01 0.91718018E+04
 0.76156750E-01 0.90304971E+04
 0.77067204E-01 0.88872490E+04
 0.77977650E-01 0.87423428E+04
 0.78888096E-01 0.85960938E+04
 0.79798549E-01 0.84488496E+04
 0.80708995E-01 0.83009707E+04
 0.81619442E-01 0.81528311E+04
 0.82529895E-01 0.80048213E+04
 0.83440341E-01 0.78573257E+04
 0.84350787E-01 0.77107349E+04
 0.85261241E-01 0.75654292E+04
 0.86171687E-01 0.74217837E+04
 0.87082133E-01 0.72801562E+04
 0.87992579E-01 0.71408857E+04
 0.88903032E-01 0.70042993E+04
 0.89813478E-01 0.68706899E+04
 0.90723924E-01 0.67403345E+04
 0.91634378E-01 0.66134771E+04
 0.92544824E-01 0.64903384E+04
 0.93455270E-01 0.63711084E+04
 0.94365723E-01 0.62559478E+04
 0.95276169E-01 0.61449849E+04
 0.96186616E-01 0.60383232E+04
 0.97097069E-01 0.59360332E+04
 0.98007515E-01 0.58381592E+04
 0.98917961E-01 0.57447163E+04
 0.99828407E-01 0.56556919E+04
 0.10073886E+00 0.55710522E+04
 0.10164931E+00 0.54907329E+04
 0.10255975E+00 0.54146514E+04
 0.10347021E+00 0.53427026E+04
 0.10438065E+00 0.52747607E+04
 0.10529110E+00 0.52106826E+04
 0.10620155E+00 0.51503076E+04
 0.10711200E+00 0.50934604E+04
 0.10802244E+00 0.50399531E+04
 0.10893289E+00 0.49895859E+04
 0.10984334E+00 0.49421489E+04
 0.11075379E+00 0.48974214E+04
 0.11166424E+00 0.48551802E+04
 0.11257469E+00 0.48151953E+04
 0.11348514E+00 0.47772329E+04
 0.11439558E+00 0.47410591E+04
 0.11530603E+00 0.47064390E+04
 0.11621648E+00 0.46731392E+04
 0.11712693E+00 0.46409292E+04
 0.11803738E+00 0.46095864E+04
 0.11894783E+00 0.45788911E+04
 0.11985827E+00 0.45486338E+04
 0.12076872E+00 0.45186118E+04
 0.12167917E+00 0.44886382E+04
 0.12258962E+00 0.44585312E+04
 0.12350006E+00 0.44281274E+04
 0.12441052E+00 0.43972754E+04
 0.12532096E+00 0.43658384E+04
 0.12623142E+00 0.43336958E+04
 0.12714186E+00 0.43007441E+04
 0.12805231E+00 0.42668945E+04
 0.12896276E+00 0.42320786E+04
 0.12987320E+00 0.41962402E+04
 0.13078365E+00 0.41593452E+04
 0.13169411E+00 0.41213726E+04
 0.13260455E+00 0.40823196E+04
 0.13351500E+00 0.40421975E+04
 0.13442545E+00 0.40010352E+04
 0.13533589E+00 0.39588743E+04
 0.13624634E+00 0.39157690E+04
 0.13715678E+00 0.38717878E+04
 0.13806725E+00 0.38270093E+04
 0.13897769E+00 0.37815208E+04
 0.13988814E+00 0.37354185E+04
 0.14079858E+00 0.36888071E+04
 0.14170903E+00 0.36417961E+04
 0.14261948E+00 0.35944995E+04
 0.14352994E+00 0.35470349E+04
 0.14444038E+00 0.34995203E+04
 0.14535083E+00 0.34520752E+04
 0.14626127E+00 0.34048184E+04
 0.14717172E+00 0.33578662E+04
 0.14808217E+00 0.33113325E+04
 0.14899261E+00 0.32653264E+04
 0.14990307E+00 0.32199536E+04
 0.15081352E+00 0.31753115E+04
 0.15172397E+00 0.31314934E+04
 0.15263441E+00 0.30885859E+04
 0.15354486E+00 0.30466653E+04
 0.15445530E+00 0.30058032E+04
 0.15536577E+00 0.29660610E+04
 0.15627621E+00 0.29274924E+04
 0.15718666E+00 0.28901416E+04
 0.15809710E+00 0.28540466E+04
 0.15900755E+00 0.28192341E+04
 0.15991800E+00 0.27857236E+04
 0.16082844E+00 0.27535269E+04
 0.16173890E+00 0.27226470E+04
 0.16264935E+00 0.26930776E+04
 0.16355979E+00 0.26648083E+04
 0.16447024E+00 0.26378179E+04
 0.16538069E+00 0.26120808E+04
 0.16629113E+00 0.25875652E+04
 0.16720159E+00 0.25642312E+04
 0.16811204E+00 0.25420349E+04
 0.16902249E+00 0.25209277E+04
 0.16993293E+00 0.25008555E+04
 0.17084338E+00 0.24817607E+04
 0.17175382E+00 0.24635825E+04
 0.17266427E+00 0.24462556E+04
 0.17357473E+00 0.24297146E+04
 0.17448518E+00 0.24138901E+04
 0.17539562E+00 0.23987126E+04
 0.17630607E+00 0.23841106E+04
 0.17721651E+00 0.23700134E+04
 0.17812696E+00 0.23563496E+04
 0.17903742E+00 0.23430481E+04
 0.17994787E+00 0.23300410E+04
 0.18085831E+00 0.23172590E+04
 0.18176876E+00 0.23046379E+04
 0.18267921E+00 0.22921138E+04
 0.18358965E+00 0.22796260E+04
 0.18450010E+00 0.22671194E+04
 0.18541056E+00 0.22545400E+04
 0.18632101E+00 0.22418381E+04
 0.18723145E+00 0.22289695E+04
 0.18814190E+00 0.22158936E+04
 0.18905234E+00 0.22025742E+04
 0.18996279E+00 0.21889814E+04
 0.19087325E+00 0.21750896E+04
 0.19178370E+00 0.21608772E+04
 0.19269414E+00 0.21463284E+04
 0.19360459E+00 0.21314331E+04
 0.19451503E+00 0.21161851E+04
 0.19542548E+00 0.21005835E+04
 0.19633593E+00 0.20846318E+04
 0.19724639E+00 0.20683394E+04
 0.19815683E+00 0.20517170E+04
 0.19906728E+00 0.20347821E+04
 0.19997773E+00 0.20175549E+04
 0.20088817E+00 0.20000579E+04
 0.20179862E+00 0.19823181E+04
 0.20270908E+00 0.19643643E+04
 0.20361952E+00 0.19462285E+04
 0.20452997E+00 0.19279426E+04
 0.20544042E+00 0.19095433E+04
 0.20635086E+00 0.18910648E+04
 0.20726131E+00 0.18725452E+04
 0.20817176E+00 0.18540200E+04
 0.20908222E+00 0.18355281E+04
 0.20999266E+00 0.18171051E+04
 0.21090311E+00 0.17987875E+04
 0.21181355E+00 0.17806107E+04
 0.21272400E+00 0.17626089E+04
 0.21363445E+00 0.17448146E+04
 0.21454489E+00 0.17272584E+04
 0.21545535E+00 0.17099697E+04
 0.21636580E+00 0.16929756E+04
 0.21921268E+00 0.16419943E+04
 0.22209701E+00 0.15941210E+04
 0.22501929E+00 0.15498698E+04
 0.22798003E+00 0.15095120E+04
 0.23097973E+00 0.14730607E+04
 0.23401889E+00 0.14402750E+04
 0.23709804E+00 0.14106848E+04
 0.24021772E+00 0.13836309E+04
 0.24337843E+00 0.13583235E+04
 0.24658072E+00 0.13339120E+04
 0.24982516E+00 0.13095629E+04
 0.25311229E+00 0.12845397E+04
 0.25644267E+00 0.12582737E+04
 0.25981686E+00 0.12304204E+04
 0.26323545E+00 0.12008909E+04
 0.26669905E+00 0.11698529E+04
 0.27020818E+00 0.11377029E+04
 0.27376351E+00 0.11050104E+04
 0.27736560E+00 0.10724401E+04
 0.28101510E+00 0.10406687E+04
 0.28471261E+00 0.10102987E+04
 0.28845876E+00 0.98179004E+03
 0.29225424E+00 0.95540875E+03
 0.29609963E+00 0.93120215E+03
 0.29999563E+00 0.90900531E+03
 0.30394286E+00 0.88846960E+03
 0.30794206E+00 0.86911810E+03
 0.31199387E+00 0.85041547E+03
 0.31609899E+00 0.83184613E+03
 0.32025814E+00 0.81298804E+03
 0.32447201E+00 0.79357141E+03
 0.32874131E+00 0.77351172E+03
 0.33306679E+00 0.75291144E+03
 0.33744919E+00 0.73202899E+03
 0.34188923E+00 0.71122363E+03
 0.34638771E+00 0.69088312E+03
 0.35094538E+00 0.67135236E+03
 0.35556301E+00 0.65287360E+03
 0.36024141E+00 0.63554883E+03
 0.36498135E+00 0.61933057E+03
 0.36978367E+00 0.60404138E+03
 0.37464920E+00 0.58941742E+03
 0.37957871E+00 0.57516534E+03
 0.38457310E+00 0.56102466E+03
 0.38963321E+00 0.54681750E+03
 0.39475986E+00 0.53247906E+03
 0.39995402E+00 0.51806024E+03
 0.40521649E+00 0.50370291E+03
 0.41054821E+00 0.48959674E+03
 0.41595009E+00 0.47592682E+03
 0.42142302E+00 0.46282742E+03
 0.42696798E+00 0.45035263E+03
 0.43258590E+00 0.43846948E+03
 0.43827775E+00 0.42707434E+03
 0.44404447E+00 0.41602652E+03
 0.44988707E+00 0.40518906E+03
 0.45580655E+00 0.39446484E+03
 0.46180394E+00 0.38381796E+03
 0.46788022E+00 0.37327469E+03
 0.47403646E+00 0.36290625E+03
 0.48027366E+00 0.35279898E+03
 0.48659298E+00 0.34302353E+03
 0.49299541E+00 0.33361230E+03
 0.49948213E+00 0.32455222E+03
 0.50605416E+00 0.31579370E+03
 0.51271266E+00 0.30727112E+03
 0.51945877E+00 0.29892615E+03
 0.52629369E+00 0.29072577E+03
 0.53321850E+00 0.28266916E+03
 0.54023445E+00 0.27478058E+03
 0.54734266E+00 0.26709424E+03
 0.55454445E+00 0.25963760E+03
 0.56184095E+00 0.25241898E+03
 0.56923354E+00 0.24542589E+03
 0.57672334E+00 0.23863162E+03
 0.58431166E+00 0.23200754E+03
 0.59199989E+00 0.22553392E+03
 0.59978926E+00 0.21920554E+03
 0.60768110E+00 0.21302927E+03
 0.61567676E+00 0.20701662E+03
 0.62377769E+00 0.20117570E+03
 0.63198513E+00 0.19550558E+03
 0.64030063E+00 0.18999686E+03
 0.64872551E+00 0.18463640E+03
 0.69860381E+00 0.15678439E+03
 0.75231707E+00 0.13296439E+03
 0.81016010E+00 0.11260617E+03
 0.87245059E+00 0.95237411E+02
 0.93953031E+00 0.80446106E+02
 0.10117675E+01 0.67870651E+02
 0.10895588E+01 0.57192566E+02
 0.11733314E+01 0.48139439E+02
 0.12635448E+01 0.40475609E+02
 0.13606944E+01 0.33995037E+02
 0.14653136E+01 0.28523092E+02
 0.15779765E+01 0.23907993E+02
 0.16993016E+01 0.20020454E+02
 0.18299551E+01 0.16749422E+02
 0.19706541E+01 0.14000308E+02
 0.21221709E+01 0.11692170E+02
 0.22853374E+01 0.97563629E+01
 0.24610491E+01 0.81343975E+01
 0.26502707E+01 0.67767181E+01
 0.28540411E+01 0.56413298E+01
 0.30734785E+01 0.46926823E+01
 0.33097878E+01 0.39007444E+01
 0.35642660E+01 0.32401888E+01
 0.38383100E+01 0.26896741E+01
 0.41334248E+01 0.22312260E+01
 0.44512296E+01 0.18497374E+01
 0.47934694E+01 0.15325236E+01
 0.51620226E+01 0.12689470E+01
 0.55589128E+01 0.10500878E+01
 0.59863186E+01 0.86848164E+00
 0.64465861E+01 0.71788710E+00
 0.69422421E+01 0.59308708E+00
 0.74760075E+01 0.48972583E+00
 0.80508118E+01 0.40417284E+00
 0.86698112E+01 0.33340046E+00
 0.93364029E+01 0.27488765E+00
 0.10054247E+02 0.22653794E+00
 0.10827284E+02 0.18660662E+00
 0.11659757E+02 0.15364532E+00
 0.12556235E+02 0.12645103E+00
 0.13521641E+02 0.10402563E+00
 0.14561274E+02 0.85541755E-01
 0.15680840E+02 0.70313573E-01
 0.16886486E+02 0.57773385E-01
 0.18184830E+02 0.47451217E-01
 0.19583000E+02 0.38958427E-01
 0.21088669E+02 0.31973716E-01
 0.22710104E+02 0.26231617E-01
 0.24456207E+02 0.21512987E-01
 0.26336561E+02 0.17636871E-01
 0.28361488E+02 0.14454069E-01
 0.30542107E+02 0.11841545E-01
 0.32890385E+02 0.96978899E-02
 0.35419212E+02 0.79395883E-02
 0.38142475E+02 0.64978758E-02
 0.41075119E+02 0.53161532E-02
 0.44233246E+02 0.43478622E-02
 0.47634186E+02 0.35547181E-02
 0.51296616E+02 0.29052550E-02
 0.55240639E+02 0.23736169E-02
 0.59487900E+02 0.19385676E-02
 0.64061722E+02 0.15826727E-02
 0.68987206E+02 0.12916228E-02
 0.74291397E+02 0.10536790E-02
 0.80003410E+02 0.85921341E-03
 0.86154594E+02 0.70033246E-03
 0.92778725E+02 0.57056709E-03
 0.99912163E+02 0.46461704E-03
 0.10759407E+03 0.37814138E-03
